title,description
Pin Lariccio,"The MOVING reference member state of this VC (Value Chain) is FRANCE INRAE. The reference MOVING Card ID of this VC is VC 14 FR. This sector is highly concentrated. It gathers 9 sawmills. 3 units do 75% of regional lumber collection and 70% of wood sawing and wood planing.This interprofessional organisational has been existing since 2010. Public (ONF) and private owners coexist, eventhough ONF is the most important producers of lamber."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Corsican moutains. The reference mountain landscape of this VC is Corsica. Corsica is an island in the sea. It presents a great diversity of landscapes: plains, hillsides, deap and steep valleys Pin Larricio is present in the highest altitudes, between 900 and 1800 meters."
Geography and population,The size of the area (km2) is 8722. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 2706. The total population (in thousand) is 0.334. The population density (Inhabitants/km2) in the LAU is 38.6. The population change rate of the LAU in the last 10 years (%) has been 1.10%. The overall regional population density (Inhabitants/km2) is 38.6. The regional population change rate in the last 10 years (%) has been 1.10%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 25400. The total Gross Value Added (GVA) (EUR million/year) [Province] is 8034.12. The primary sector share of total GVA/year [Province] is unspecified. The secondary sector share of total GVA/year [Province] is unspecified. The tertiary sector share of total GVA/year [Province] is unspecified. The per capita income (EUR/year) [Region] is 25400. The total Gross Value Added (GVA) (EUR million/year) [Region] is 8034.12. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is unspecified. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 2626. The nearest settlement with population over 100000 (km) is 333. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is unspecified. The secondary sector share of total employment/year [Province] is unspecified. The tertiary sector share of total employment/year [Province] is unspecified. The primary sector share of total employment/year [Region] is 0.036. The secondary sector share of total employment/year [Region] is 0.162. The tertiary sector share of total employment/year [Region] is 0.802.
Interest on this VC,"High reputation product, territorial identity, issues in logistics and organization of the sector. Pin Lariccio grows in high altitudes, mostly in lands that are property of the state and managed by the National Office of Forest (ONF in France). This makes this public organization the main producer of PIn Lariccio, along with other missions such as forst management, preservation of the environment and public reception (summer tourism). A interprofessionnal organization was created in 2010 in order to organize and promote the sector, which is less developed than elsewhere in France; it federates the activities involved in wood extraction and the ones involved in construction.In 2020, the regional office for agricultural and rural development had a brand recognized for Corsican lumber : Lignum Corsica. There is a political will to promote this sector and to push local stakeholders to use local lumber for construction (public buildings and private ones)."
Challenges,To organize and to find conditions for existing durably.To provide for local construction (in a context of political will for reducing dependencies). Overall the type of challenge faced by this VC is Current. This VC is classified as Innovative.
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. Wood products coming from Pin Lariccio are expensive: they are sold 42€/m3 which is 70% higher than comparable tree essences (fir). This activity suffers from exogeneous competition, based on exotic essences. The main stakeholders adapt and propose both local essences and foreign ones. The innovation is related to New governance systems. The land use systems involved are Forestry, Natural land, Schrubs and summer pastures. The local assets include Natural."
Concluding remarks,"Similar VC was identified in other MRls, in Czech Republic, Hungary, North Macedonia."
