title,description
Unsprayed berries,"The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 13 SCA. An example is the Veiseth, a raspberry farm where you can rather pick up your own raspberries, buy a box of fresh or frozen raspberries and buy raspberry juice. The season for fresh raspberries goes form July to September. They also offer walks around the farm where visitors get to know more about the raspberry production. They do not spray pesticides on their raspberries. They belong to the regional brand AUK - SMAKER FRA STJØRDALSFØRET. Besides the on-farm sell, they also offer their products in the Auk store on Torgkvartalet or through Reko-ringen Trondheim."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Stjørdal. The MRL is crossed by the Stjørdalselva river until its arrival to the Trondheim fiord. The Eastern part of the municipality belongs to the Skarvan and Roltdalen National Park. Due to its proximity to Trondheim, the municipality is developing an urbanization process. Simultaneously, there are still multiple local VCs within the AUK - SMAKER FRA STJØRDALSFØRET, such as organic vegetable farming, family dairies, beekeeping , eggs, beer brewery, traditional bakery, coffee distillery, and rural touristic accommodation."
Geography and population,The size of the area (km2) is 938.27. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1171. The total population (in thousand) is 24.145. The population density (Inhabitants/km2) in the LAU is 25.74. The population change rate of the LAU in the last 10 years (%) has been 12.96%. The overall regional population density (Inhabitants/km2) is 11.11. The regional population change rate in the last 10 years (%) has been 10.08%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 43700.86. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5313.71. The primary sector share of total GVA/year [Province] is 7.89%. The secondary sector share of total GVA/year [Province] is 18.80%. The tertiary sector share of total GVA/year [Province] is 66.36%. The per capita income (EUR/year) [Region] is 54460.72. The total Gross Value Added (GVA) (EUR million/year) [Region] is 22400.21. The primary sector share of total GVA/year [Region] is 5.35%. The secondary sector share of total GVA/year [Region] is 16.31%. The tertiary sector share of total GVA/year [Region] is 78.34%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 15554. The regional (Region) share of total BPs/year is 38.29%. The number of agricultural holdings in the LAU is 3027. The nearest settlement with population over 100000 (km) is 33.7. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 1.09%. The secondary sector share of total employment/year [Province] is 19.27%. The tertiary sector share of total employment/year [Province] is 79.63%. The primary sector share of total employment/year [Region] is 2.54%. The secondary sector share of total employment/year [Region] is 20.19%. The tertiary sector share of total employment/year [Region] is 77.27%.
Interest on this VC,"Unsprayed raspberries of a local variety. Berries grow naturally in this environment so its market-oriented production is a possibility for local economies to thrive. The pick up yourself format can be seen as a marketing strategy as they are selling the whole experience of harvesting your own fresh raspberries. The new products relate to the frozen raspberries and the variety of juices they offer. Although these products already have extisted out there, it is interesting how they have integrated all those options in a family business."
Key local assets,The main asset of this VC is the cooperation between producers of the valley under the association AUK - SMAKER FRA STJØRDALSFØRET. They share values of sustainability and care for the valley and for the tastes that come from it. Berries are the natural asset for this VC. 
Challenges,"The big challenge is to compete with greenhouse berry production, big Norwegian companies and the import market. Besides, global warming may bring new patogens and diseases to Nordic latitudes, and thus, production without spraying may become even more challenging. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. Firstly, the farm offers the possibility of picking up the fruits yourself. This adds a recreative and learning experience to the purchase while strenghtening the link between producers and consumers. Secondly, the farm offers a wide diversity of products such as frozen berries and juices to survive during the whole year. The innovation is related to New products and New marketing strategies. The land use systems involved are Cropland. The local assets include Natural and social."
