title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Winter sports (downhill sking and snowboarding) within the Lecht ski resort - reliant on landscape for the slope and snow for skiing. Uses a wind power to run tehir snow making factory to supplement their natural snow cover. Use of the area in summer as a result of the winter sports is also of interest. The Lecht ski resort lies within Aberdeenshire LAU1,"The MOVING reference member state of this VC (Value Chain) is SCOTLAND HUTTON. The reference MOVING Card ID of this VC is VC 23 UK. Winters sports, in this instance Lecht ski resort depend on maintenance of the land in the area (i.e., ensuring it is releatively undisturbed in summer) so that it can be utilised for winter sports in the winter time from roughly Decemeber to April. The Lecht ski centre directly employs 15.5 seasonal staff, but other jobs have been created / maintained through provision of local tourist accomodation in Tomintoul - 6 miles from the Lecht and even further afield within the rest of the Aberdeenshire and Aberdeen City LAU1 areas. Also, throughout Aberdeenshire and Aberdeen city there is also job provision from equipment hire shops (to serve the Lecht and other nearby ski slopes. It can link to other local tourism opportuntities (i.e. Tomintoul whisky distillery in the nearly Badendoch and Strathspey LAU1 region). No figures could be found on the economic value of the ski centre.","Lecht Ski Centre, Lechtal Alps, Tomintoul, Aberdeenshire, Aberdeen, Scotland, Moving, Value chain, Winter sports, Skiing, Tomintoul Distillery, Strathspey","http://www.wikidata.org/entity/Q6511661, http://www.wikidata.org/entity/Q700267, http://www.wikidata.org/entity/Q1236329, http://www.wikidata.org/entity/Q189912, http://www.wikidata.org/entity/Q36405, http://www.wikidata.org/entity/Q22, http://www.wikidata.org/entity/Q1047402, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q204686, http://www.wikidata.org/entity/Q130949, http://www.wikidata.org/entity/Q2440708, http://www.wikidata.org/entity/Q7622167","ski resort in Aberdeenshire, Scotland, UK|mountain range of the Alps in Vorarlberg and Tyrol, Austria|village in Moray, Scotland, UK|council area of Scotland|city in Scotland, United Kingdom|country in north-west Europe, part of the United Kingdom|Wikimedia disambiguation page|functions of a company affecting its costs and quality and give it a competitive advantage|sport mainly practiced during the wintertime, often on snow or ice|recreational activity and sport using skis|The Tomintoul-Glenlivet Distillery is a distillery in Ballindalloch, in the Speyside region of Scotland, producing malt whisky for blends and bottled as single malts.|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/d/d4/2020-03-01_Lecht_Ski_Centre.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Parseierspitze.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Tomintoul.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/View_NE_from_summit_of_B976_-_geograph.org.uk_-_443153.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aberdeen_from_Tollohill_Woods.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f8/Scotland_from_satellite.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/0/03/Skier-carving-a-turn.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/Skier-carving-a-turn.jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Tomintoul_Distillery_-_2006.jpg,null","57.1681 -3.2315,47.1744 10.4783,57.2508 -3.37807,57.151 -2.123,57.15 -2.1,57 -5,null,null,null,null,57.3116 -3.41335,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Highlands and Islands (RR9); North Eastern Scotland (NUTS2). The reference mountain landscape of this VC is Aberdeenshire. Aberdeenshire is in the north-east of Scotland and is a highly diverse landscape, with a long coastline, lowland agricultural areas, large rivers and the mountains and valleys of the Cairngorms. It surrounds the city of Aberdeen and contains several towns, including six settlements with a population of over 10,000. The oil and gas industry is a key economic sector, with land-based industries and tourism more important in the rural parts of the region.","Aberdeenshire, Scotland, Cairngorms, Aberdeen, Highlands and Islands, Northeast Scotland, Oil and gas industry","http://www.wikidata.org/entity/Q189912, http://www.wikidata.org/entity/Q22, http://www.wikidata.org/entity/Q747064, http://www.wikidata.org/entity/Q36405, http://www.wikidata.org/entity/Q729025, http://www.wikidata.org/entity/Q64854275, http://www.wikidata.org/entity/Q862571","council area of Scotland|country in north-west Europe, part of the United Kingdom|mountain range in the eastern Highlands of Scotland, UK|city in Scotland, United Kingdom|Area of Scotland|Wikimedia disambiguation page|activities linked to handling oil products","https://upload.wikimedia.org/wikipedia/commons/7/7b/View_NE_from_summit_of_B976_-_geograph.org.uk_-_443153.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Scotland_from_satellite.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/The-cairngorms-from-geal-charn.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Aberdeen_from_Tollohill_Woods.JPG,null,null,https://upload.wikimedia.org/wikipedia/commons/c/ce/Oil_well.jpg","57.151 -2.123,57 -5,57.1 -3.68,57.15 -2.1,null,null,null"
Geography and population,The size of the area (km2) is 6317.996. The minimum altimetry of the LAU (Local Administrative Unit) is -3. The maximum altimetry of the LAU is 1307. The total population (in thousand) is 261.21. The population density (Inhabitants/km2) in the LAU is 41.34. The population change rate of the LAU in the last 10 years (%) has been 4.90%. The overall regional population density (Inhabitants/km2) is 75.32. The regional population change rate in the last 10 years (%) has been 5.12%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 24463.99. The total Gross Value Added (GVA) (EUR million/year) [Province] is 20611.27. The primary sector share of total GVA/year [Province] is 2.46%. The secondary sector share of total GVA/year [Province] is 28.09%. The tertiary sector share of total GVA/year [Province] is 69.45%. The per capita income (EUR/year) [Region] is 24463.99. The total Gross Value Added (GVA) (EUR million/year) [Region] is 20611.27. The primary sector share of total GVA/year [Region] is 2.46%. The secondary sector share of total GVA/year [Region] is 28.09%. The tertiary sector share of total GVA/year [Region] is 69.45%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Euro","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q4916","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|currency of most countries in the European Union","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Euro_coins_and_banknotes.jpg","null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 14233. The regional (Region) share of total BPs/year is 100.00%. The number of agricultural holdings in the LAU is 8612. The nearest settlement with population over 100000 (km) is 51.7. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 3.30%. The secondary sector share of total employment/year [Province] is 23.08%. The tertiary sector share of total employment/year [Province] is 73.63%. The primary sector share of total employment/year [Region] is 3.30%. The secondary sector share of total employment/year [Region] is 23.08%. The tertiary sector share of total employment/year [Region] is 73.63%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg","null,null,null,null"
Interest on this VC,"For example: successful registration of a quality scheme, high quality product(s), high reputation product(s), prevalence of the connected land use system(s) in the area, particulary treathen land use system(s) or natural asset(s), territorial idendity, e-commerce. The wind-powered snow factory represents both a new product (snow factory) and new process (powered through renewable energy).","Registration, Quality management, Product quality, Land use, Natural capital, Territoriality, E-commerce, Wind power, Snowmaking, Renewable energy","http://www.wikidata.org/entity/Q217425, http://www.wikidata.org/entity/Q757012, http://www.wikidata.org/entity/Q185957, http://www.wikidata.org/entity/Q1165944, http://www.wikidata.org/entity/Q1540268, http://www.wikidata.org/entity/Q917215, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q43302, http://www.wikidata.org/entity/Q720493, http://www.wikidata.org/entity/Q12705","Wikimedia disambiguation page|management area dealing with the provision, documentation and quality control of products and services|non-inferiority or superiority of something; a perceptual, conditional, and somewhat subjective attribute that may be understood differently by different people|characterization of land based on what can be built on it and what the land can be used for|world's stock of natural resources, which includes geology, soils, air, water and all living organisms|area a wild animal consistently inhabits, patrols, and possibly defends|type of business industry usually conducted over the Internet|conversion of wind energy into a useful form|a process to produce artificial snow|energy collected from renewable resources","null,null,null,null,null,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4c/Alto_de_Penouta.JPG,https://upload.wikimedia.org/wikipedia/commons/0/04/Schneekanone_Reischach.jpg,null","null,null,null,null,null,null,null,null,null,null"
Key local assets,"Lecht ski resort depend on a range of natural, cultural and social assets. In terms of natural assets in relies on the attractive landscape to both provide the basis for the skiing, but also the pleasant surroundings (which encourage visitors to come). They also depend on good snowfall to ensure they can open for as long a season as possible (also to enable artifical snow-making). In terms of social assets, cairngorms ski resort are dependent on good community realtions both with the Cairngorms National Park Authortiy, the land owners and the local tourism operators and residents of the local village Tomintoul. Without their support the ski resort would likely fail. In terms of cultural assets there is a reliance on local traditional knowledge for Lecht-specific ski knowledge and as an important part of local childhood. Also there Lecht is dependent on local Braemar Mountain Rescue team www.braemarmountainrescue.org.uk who voluntarily serve the surrounding mountains if hillwalkers/ Skiiers/snowboarders injure themselves whilst on the mountains. These volunteers are required to live locally and need long-term experiences with the local area. ","Cairngorms National Park, Tomintoul, Lechtal Alps, Lecht Ski Centre, Skiing, Hiking, Snowboarding","http://www.wikidata.org/entity/Q1025953, http://www.wikidata.org/entity/Q1236329, http://www.wikidata.org/entity/Q700267, http://www.wikidata.org/entity/Q6511661, http://www.wikidata.org/entity/Q130949, http://www.wikidata.org/entity/Q12014035, http://www.wikidata.org/entity/Q178131","national park in Scotland, United Kingdom|village in Moray, Scotland, UK|mountain range of the Alps in Vorarlberg and Tyrol, Austria|ski resort in Aberdeenshire, Scotland, UK|recreational activity and sport using skis|walking as a hobby, sport, or leisure activity|snow sport involving a single board","https://upload.wikimedia.org/wikipedia/commons/c/c5/Linn_of_Dee.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Tomintoul.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Parseierspitze.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/2020-03-01_Lecht_Ski_Centre.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/Skier-carving-a-turn.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Alta_via_meranese_2005-05.JPG,https://upload.wikimedia.org/wikipedia/commons/0/0a/BoarderX.JPG","57.0833 -3.66667,57.2508 -3.37807,47.1744 10.4783,57.1681 -3.2315,null,null,null"
Challenges,"Future issues concern lack of snowsports possiblity due to climate change impacts, and current closures from COVID - potential for land to be used for more specifically land-connected activities but these may not be so profitable or helpful for resilience (i.e. in terms of wider jobs and tourism). There is also tension betwen habitat designations on the plateau and the ski slopes providing access to these areas (and infrastrcuture e.g. car parks, cafes). The tension between tourism and conservation is at the heart of the reason why the National park was designated. Overall the type of challenge faced by this VC is Current and predicted. This VC is classified as Traditional and Innovative.","Snow sports, Climate change, COVID-19 pandemic, Tourism, Conservation, National park","http://www.wikidata.org/entity/Q204686, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q81068910, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q342041, http://www.wikidata.org/entity/Q46169","sport mainly practiced during the wintertime, often on snow or ice|human-caused changes to climate on Earth|pandemic caused by SARS-CoV-2 (2019–2023)|travel for pleasure or business|Wikimedia disambiguation page|park used for conservation purposes of animal life and plants","https://upload.wikimedia.org/wikipedia/commons/0/03/Skier-carving-a-turn.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Covid-19_SP_-_UTI_V._Nova_Cachoeirinha.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/5/5a/Grand_prismatic_no_noise_reduction.jpg","null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. The use of the wind turbine to power the snow factory is innovative as it both extends the season for skiing and improves its reliability (and thus economic sustainability), but also is drawing on renewable energy. Nowhere else in the UK powers their snowmaking through such innovative means, however there is existing use of renewable energy sources within ski resorts, thus the innovation is exogenous. The Cairngorms resort is currently reviewing plans to power its snowmaking through sustainably produced HVO (hydrotreated vegetable oil) to reduce its reliance on diesel for their snow cannons. The innovation is related to the whole VC. The land use systems involved are Natural land. The local assets include natural land but it is managed to an extent -i.e. no trees, not too much heather etc to encourage snowfall retention on the slopes.","Cairngorms, Value chain, Endogeneity, Wind turbine, Skiing, Renewable energy, United Kingdom, Ski resort, Cairngorms National Park, Hydrotreated vegetable oil, Diesel fuel, Snowmaking, Land use, Natural environment, Heather","http://www.wikidata.org/entity/Q747064, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q20998573, http://www.wikidata.org/entity/Q49833, http://www.wikidata.org/entity/Q130949, http://www.wikidata.org/entity/Q12705, http://www.wikidata.org/entity/Q145, http://www.wikidata.org/entity/Q130003, http://www.wikidata.org/entity/Q1025953, http://www.wikidata.org/entity/Q5897118, http://www.wikidata.org/entity/Q38423, http://www.wikidata.org/entity/Q720493, http://www.wikidata.org/entity/Q1165944, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q15041366","mountain range in the eastern Highlands of Scotland, UK|functions of a company affecting its costs and quality and give it a competitive advantage|Wikimedia disambiguation page|device that converts wind energy into electrical energy|recreational activity and sport using skis|energy collected from renewable resources|island country in north-west Europe|mountainside developed for skiing, snowboarding, and other winter sports|national park in Scotland, United Kingdom|type of biofuel|liquid fuel used in diesel engines|a process to produce artificial snow|characterization of land based on what can be built on it and what the land can be used for|all living and non-living things occurring naturally on Earth or some region thereof|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/7/7e/The-cairngorms-from-geal-charn.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/46/2019_07_26_Trampe_Windkraftanlagen_DJI_0041.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/Skier-carving-a-turn.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/87/Palace_of_Westminster_from_the_dome_on_Methodist_Central_Hall.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Male_Ciche.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Linn_of_Dee.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Biodiesel-3.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Diesel_in_mason_jar.JPG,https://upload.wikimedia.org/wikipedia/commons/0/04/Schneekanone_Reischach.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,null","57.1 -3.68,null,null,null,null,null,54.6 -2,null,57.0833 -3.66667,null,null,null,null,null,null"
