title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Meat from Cervera de Pisuerga and the Palencia Mountains,"The MOVING reference member state of this VC (Value Chain) is SPAIN ADEGUA. The reference MOVING Card ID of this VC is VC 25 ES. According to data from the Ministry of Agriculture, in 2019, the production of beef cattle in Spain accounted for 6.3% of everything produced by the countryside, being the third most crucial livestock sector behind pork and poultry. Carne de Cervera de Pisuerga y de la Montaña Palentina is the guaranteed brand created in 1998, which certifies the region's beef products' quality. In 2011, Montaña Palentina Sociedad Cooperativa became part of Agropal Grupo Alimentario, which is currently in charge of its management, control, sale and distribution. The Carne de Cervera de Pisuerga y de la Montaña Palentina offers the following products: Ternera Blanca Lechal, Ternera Tradicional, and Añojo being the breeds suitable for meat production the Mountain Brown, Limousin and their crosses. In addition to the Quality Label, the product enjoys various distinctions such as 'Alimentos de Palencia' and 'Tierra de Sabor de Castilla y León.' The production area of origin extends to the 27 municipalities that make up the natural region of Montaña Palentina, while since 2010, the native and breeding area of the cattle, whose meat is protected by the Guarantee Label, has been extended to municipalities in the northern region of León and Burgos.","Spain, Cervera de Pisuerga, Limousin, León, Spain, Burgos, Cattle, Pork, Poultry, Montaña Palentina, León (province), Burgos (province), Castile and León, Limousin cattle","http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q1771120, http://www.wikidata.org/entity/Q1190, http://www.wikidata.org/entity/Q15699, http://www.wikidata.org/entity/Q9580, http://www.wikidata.org/entity/Q830, http://www.wikidata.org/entity/Q191768, http://www.wikidata.org/entity/Q178559, http://www.wikidata.org/entity/Q1074451, http://www.wikidata.org/entity/Q71140, http://www.wikidata.org/entity/Q55271, http://www.wikidata.org/entity/Q5739, http://www.wikidata.org/entity/Q586876","country in southwestern Europe with territories in Africa|municipality of Spain|geographic region and former administrative region in France|municipality in Castile and León, Spain|municipality in Castile and Leon, Spain|large, domesticated, cloven-hooved herbivores|meat from a pig|domesticated birds kept by humans for their eggs, meat, or feathers|natural comarca of the province of Palencia, in Castilla and León, Spain|province of Castile and León, Spain|province in Castile and León, Spain|autonomous community of Spain|cattle breed","https://upload.wikimedia.org/wikipedia/commons/d/d3/Spain_-_Location_Map_%282013%29_-_ESP_-_UNOCHA.svg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Cervera_de_Pisuerga_-_021_%2841066436862%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Ch%C3%A2teau_de_Villefort_%28Creuse%29_2.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Catedral_G%C3%B3tica_de_Le%C3%B3n.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Burgos_city_view_facing_south_east.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Bulgarian_gray_cattle.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Pork_loin_ham_2.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Scheuerer_H%C3%BChnerhof.jpg,null,https://upload.wikimedia.org/wikipedia/commons/e/e8/Las_M%C3%A9dulas_Roman_Gold_Mine_05.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fa/Hoyos_del_Tozo_-_Inicio_del_Ca%C3%B1%C3%B3n_del_Rudr%C3%B3n_2.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/%28Castile_and_Le%C3%B3n%29_IberianPeninsulaNASA_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Limousinedeface.JPG","40.2 -3.5,42.8635509 -4.4972234,45.68795 1.6204833333333,42.598888888889 -5.5669444444444,42.340833333333 -3.6997222222222,null,null,null,42.8427 -4.54627,42.620046 -5.8406603,42.383333333333 -3.6666666666667,41.754444444444445 -4.781944444444444,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Cantabrian Mountains. The reference mountain landscape of this VC is Cervera de Pisuerga. According to the Ministry of Agriculture criteria, the area under study is a region classified as a High Mountain Area. The orography and climate have traditionally marked the human activities and creations in the region. The Cervera sub-region is the least populated of the Palencia Mountains and the one with the highest population dispersion levels. This is due to its structure in small high mountain villages traditionally dedicated to extensive livestock farming. The Montaña Palentina has a natural environment and landscape of outstanding quality that is preserved, in a large part of the area, under three figures of protection: Montaña Palentina Natural Park, Covalagua Natural Area, and the Natural Area of Las Tuerces.","Cantabrian Mountains, Cervera de Pisuerga, Cervera Mountains, Ministry of Agriculture, Fisheries and Food, Montaña Palentina, Montaña Palentina Natural Park","http://www.wikidata.org/entity/Q208076, http://www.wikidata.org/entity/Q1771120, http://www.wikidata.org/entity/Q5065320, http://www.wikidata.org/entity/Q15704556, http://www.wikidata.org/entity/Q1074451, http://www.wikidata.org/entity/Q6980577","mountain range in Spain|municipality of Spain|mountain range in Valencia, Spain|Wikimedia list article|natural comarca of the province of Palencia, in Castilla and León, Spain|protected area in Spain","https://upload.wikimedia.org/wikipedia/commons/f/f0/Cordillera_Cant%C3%A1brica_vista_desde_el_Castro_Valnera.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Cervera_de_Pisuerga_-_021_%2841066436862%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Muntanyes_de_cervera3.JPG,null,null,https://upload.wikimedia.org/wikipedia/commons/3/3c/Fuentes_Carrionas_y_Curavacas.JPG","43.1975 -4.8516666666667,42.8635509 -4.4972234,40.48166667 0.27611111,null,42.8427 -4.54627,42.94 -4.58"
Geography and population,The size of the area (km2) is 325. The minimum altimetry of the LAU (Local Administrative Unit) is 950. The maximum altimetry of the LAU is 2500. The total population (in thousand) is 2.277. The population density (Inhabitants/km2) in the LAU is 7. The population change rate of the LAU in the last 10 years (%) has been -0.12%. The overall regional population density (Inhabitants/km2) is 25.42. The regional population change rate in the last 10 years (%) has been -0.06%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 20463. The total Gross Value Added (GVA) (EUR million/year) [Province] is 3988.5. The primary sector share of total GVA/year [Province] is 7.96%. The secondary sector share of total GVA/year [Province] is 34.45%. The tertiary sector share of total GVA/year [Province] is 57.59%. The per capita income (EUR/year) [Region] is 12003. The total Gross Value Added (GVA) (EUR million/year) [Region] is 52920. The primary sector share of total GVA/year [Region] is 1.21%. The secondary sector share of total GVA/year [Region] is 25.83%. The tertiary sector share of total GVA/year [Region] is 72.96%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 547. The regional (Region) share of total BPs/year is 0,33%. The number of agricultural holdings in the LAU is 108. The nearest settlement with population over 100000 (km) is 116. In this region protected areas are present.","Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 8.70%. The secondary sector share of total employment/year [Province] is 25.30%. The tertiary sector share of total employment/year [Province] is 66.10%. The primary sector share of total employment/year [Region] is 6.10%. The secondary sector share of total employment/year [Region] is 24.30%. The tertiary sector share of total employment/year [Region] is 69.60%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"'The name 'Carne de Cervera' refers to meat backed by the quality of a priority breed, the pardo alpina, a natural diet, the meadows of the Mountains, and traditional management, with the animals being kept for nine months in the wild and the three winter months sheltered from the cold.",Mountain,http://www.wikidata.org/entity/Q8502,large natural elevation of the Earth's surface,https://upload.wikimedia.org/wikipedia/commons/2/29/Himalayas%2C_Ama_Dablam%2C_Nepal.jpg,null
Key local assets,"Most of the extensive livestock farming in the Cantabrian Mountains is located in the public utility forests managed by the Regional Ministry of Development and the Environment in collaboration with the local entities that own them, mostly local councils. The 450,000 hectares are divided into 350,000 hectares of 577 public utility forests in the Montaña Leonesa and 190,000 hectares of 286 public utility forests in the Montaña Palentina. It should be remembered that the Cantabrian Mountains account for more than 50% of the extensive livestock farming territory in the provinces of León and Palencia; in the case of the province of León, a total of 985 public utility forests, and in the case of Palencia, 493. ","Cantabrian Mountains, León, Spain, Palencia, Livestock, Government of Castile and León, Local government, León, León (province), Palencia (province)","http://www.wikidata.org/entity/Q208076, http://www.wikidata.org/entity/Q15699, http://www.wikidata.org/entity/Q8378, http://www.wikidata.org/entity/Q103459, http://www.wikidata.org/entity/Q3314606, http://www.wikidata.org/entity/Q6501447, http://www.wikidata.org/entity/Q483298, http://www.wikidata.org/entity/Q71140, http://www.wikidata.org/entity/Q55269","mountain range in Spain|municipality in Castile and León, Spain|municipality and capital city of the province of Palencia, Castile and León, Spain|domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor|autonomous government of the Spanish region of Castile and León|lowest tier of administration within a sovereign state|Wikimedia disambiguation page|province of Castile and León, Spain|Spanish province","https://upload.wikimedia.org/wikipedia/commons/f/f0/Cordillera_Cant%C3%A1brica_vista_desde_el_Castro_Valnera.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Catedral_G%C3%B3tica_de_Le%C3%B3n.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Palencia_-_panoramio_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Edward_Hicks_001.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/e/e8/Las_M%C3%A9dulas_Roman_Gold_Mine_05.JPG,https://upload.wikimedia.org/wikipedia/commons/3/3b/Aguilar_de_Campoo_-_001_%2839301180670%29.jpg","43.1975 -4.8516666666667,42.598888888889 -5.5669444444444,42.016666666667 -4.5333333333333,null,null,null,null,42.620046 -5.8406603,42.432127777778 -4.5206472222222"
Challenges,"The great challenge of the area is the fight against depopulation, while the extensive cattle farming sector faces the challenge of profitability, diversification, continuity, and integration with other activities. A policy of social awareness regarding the key role of livestock farming for the region's future is essential, ensuring generational replacement, promoting quality and marketing, supporting short channels and means of marketing, and encouraging proper coexistence between livestock wildlife. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.","Depopulation, Cattle farming, Profitability, Livestock, Wildlife, Marketing, Generational change, Tradition, Present","http://www.wikidata.org/entity/Q284137, http://www.wikidata.org/entity/Q509028, http://www.wikidata.org/entity/Q26911, http://www.wikidata.org/entity/Q103459, http://www.wikidata.org/entity/Q241741, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q1203200, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q193168","depopulation in humans is any great reduction in a human population caused by events such as long-term demographic trends|area of landscape used for ranching|concept in economics|domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor|undomesticated organisms that grow or live wild in an area without being introduced by humans|study and process of promoting, distributing, and selling products or services to customers|difference of opinions between one generation and another regarding beliefs, politics, or values|custom passed down through generations|period of time occurring now","null,https://upload.wikimedia.org/wikipedia/commons/c/c5/Grant-Kohrs_Ranch.jpg,null,https://upload.wikimedia.org/wikipedia/commons/9/9a/Edward_Hicks_001.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Nictea_July_2015-2.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. Although some signs indicate a willingness to innovate both in livestock management systems and in production and marketing processes, a traditional value chain model seems to prevail. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural, social and cultural.","Value chain, Production, Marketing, Grassland, Natural environment, Social capital, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q663143, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|Wikimedia disambiguation page|study and process of promoting, distributing, and selling products or services to customers|area with vegetation dominated by grasses|all living and non-living things occurring naturally on Earth or some region thereof|sociology concept|shared aspects of a society's way of life","null,null,null,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null,null"
