title,description
Jacetania Bread,"The MOVING reference member state of this VC (Value Chain) is SPAIN UCO. The reference MOVING Card ID of this VC is VC 36 ES. This VC is associated with traditional bakeries. As mentioned before, the techniques that each baker uses are legacies from a centruy of bread making in each locality. The ovens work with fire, giving to the bread an special flavour and consistency. They are simply made with sour dough, water, flour (of different cereals) and salt. The specifity of each of them comes with the bread-making legacy of the family or locality. In most cases, the sales stay within the municipality. Normally there is a bakery in the principal settlement and then the baker delivers them in a small truck to houses, restaurants and small stores in the surrounding villages."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Pyreenes. The reference mountain landscape of this VC is Ansó. Ansó is located in the valley of the Veral river, in the occidental part of the Pyreenes. Surrounded by mountain and sharp valleys, its boundaries touch France in the north, where the municipality border covers an extense longitudinal area along the Pyreenes' limits with France."
Geography and population,The size of the area (km2) is 224. The minimum altimetry of the LAU (Local Administrative Unit) is 765. The maximum altimetry of the LAU is 2640. The total population (in thousand) is unspecified. The population density (Inhabitants/km2) in the LAU is 1.72. The population change rate of the LAU in the last 10 years (%) has been -21.38%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) is unspecified.
Income and gross value added,The average per capita income (EUR/year) [Province] is 11807. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5551.3. The primary sector share of total GVA/year [Province] is 15.04%. The secondary sector share of total GVA/year [Province] is 21.59%. The tertiary sector share of total GVA/year [Province] is 63.37%. The per capita income (EUR/year) [Region] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Region] is unspecified. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 674. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is unspecified. The nearest settlement with population over 100000 (km) is 52. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 13.40%. The secondary sector share of total employment/year [Province] is 25.00%. The tertiary sector share of total employment/year [Province] is 61.50%. The primary sector share of total employment/year [Region] is unspecified. The secondary sector share of total employment/year [Region] is unspecified. The tertiary sector share of total employment/year [Region] is unspecified.
Interest on this VC,High reputed product made with artisanal methods. The bread is part of the cultural heritage of the region.
Challenges,"With the rural depopulation, they are losing customers as they sell in the proximity market. In addition, the industrial bread at supermarkets and food stores is a competitor. Overall the type of challenge faced by this VC is unspecified. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are N/A. The local assets include Cultural.
Concluding remarks,"The VC is present in many municipalities of the region such as Ansó (22028), Bailo (22044), Canal de Berdún (22076) or Santa Cilia (22208)."
