title,description
Ranger - truffle hunting,"The MOVING reference member state of this VC (Value Chain) is HUNGARY. The reference MOVING Card ID of this VC is VC 20 HU. The key activities of this VC are collecting truffles, making special processed products and organising truffle collecting tours. They use forest areas on an environmentally friendly, sustainable way, not interfering with other activities, and at the same time creating high value added products. As lifestyle entrepreneurs, they are connected to a local community, seeking sustainable lifestyles, through them they connect to short food chains and can contribute to developing and spreading knowledge about sustainability."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Transdanubian mountains. The reference mountain landscape of this VC is Barnag. Barnag is a small village (municipality), in Veszprém county. The village belongs to the Balaton-Uplands area and is part of a National Park. The nearest city is Veszprém (20 km) and the nearest big city (Budapest) is 135 km away. Only one inferior route passes through the settlement."
Geography and population,The size of the area (km2) is 12.01. The minimum altimetry of the LAU (Local Administrative Unit) is 344. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 0.125. The population density (Inhabitants/km2) in the LAU is 10.41. The population change rate of the LAU in the last 10 years (%) has been 8.70%. The overall regional population density (Inhabitants/km2) is 95.45. The regional population change rate in the last 10 years (%) has been -0.04%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 3877. The total Gross Value Added (GVA) (EUR million/year) [Province] is 3286. The primary sector share of total GVA/year [Province] is 4.99%. The secondary sector share of total GVA/year [Province] is 27.78%. The tertiary sector share of total GVA/year [Province] is 67.22%. The per capita income (EUR/year) [Region] is 14578. The total Gross Value Added (GVA) (EUR million/year) [Region] is 12355. The primary sector share of total GVA/year [Region] is 4.78%. The secondary sector share of total GVA/year [Region] is 38.97%. The tertiary sector share of total GVA/year [Region] is 56.24%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 0. The regional (Region) share of total BPs/year is 10.03%. The number of agricultural holdings in the LAU is 7. The nearest settlement with population over 100000 (km) is 14. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 4.47%. The secondary sector share of total employment/year [Province] is 42.86%. The tertiary sector share of total employment/year [Province] is 52.67%. The primary sector share of total employment/year [Region] is 4.47%. The secondary sector share of total employment/year [Region] is 42.86%. The tertiary sector share of total employment/year [Region] is 52.67%.
Interest on this VC,"A young couple - lifestyle entrepreneurs - moved to a village. They collect truffles with their dogs in the Balaton Uplands area. They sell processed products and organise guided truffle collecting tours. Truffle is a special product, and can only be found with dogs. The processed products, cheese stuffed with truffle, oil with truffle, salt with truffle are innovative products, not existed in the area before. Offering truffle hunting as an adventure is also innovative in Hungary."
Key local assets,"This VC uses the forests in the area to look for truffles, using dogs that is a method based on traditional culture and knowledge (though in this area it is innovative). Being part of a local immigrant community seeking sustainable lifestyles connects them to short food chains. "
Challenges,"Creating their processed products only from local ingredients (e.g. using local artesanal cheese would rise their prices too much). Uncertainty, whether they can continue to use forests to collect truffles. Marketing their truffle-adventure tours. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The processed products within this VC are special and innovative (truffle stuffed cheese, oil with truffle, salt with truffle). Looking for truffles is rare in the area, this VC is based on external knowledge. They are also in connection with a local community promoting sustainable lifestyles and creating and spreading knowledge in this field. The innovation is related to New products and New processes. The land use systems involved are Forestry. The local assets include Natural and cultural."
