title,description
Merlot from Alps - Ticino,"The MOVING reference member state of this VC (Value Chain) is SWITZERLAND. The reference MOVING Card ID of this VC is VC CH 01. Key actors of the VC are represented mostly by small individual winegrowers, who are selling the grapes to bigger private wineries. Most of the producers, 75,8%, cultivate an area smaller than 0.2 ha, so some of the small winegrowers tend to cooperate vinifying their harvests together, in order to guarantee the requested quality standards.The high level imposed by the VITI label has had a decisive influence in making Ticino wine known and appreciated on the national market, and has helped to ensure a progressive economic interest in local wine-growing."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Swiss Alps. The reference mountain landscape of this VC is Castel San Pietro. Castel San Pietro is a municipality in the district of Mendrisio in the canton of Ticino in Switzerland.It lies on a hilly territory with a difference in height that varies from 276msm of the river Breggia by which it is crossed, to 1615msm of the arrival station of the train of Monte Generoso.Castel San Pietro is one of the vineyard-covered municipalities in Canton Ticino."
Geography and population,The size of the area (km2) is 11.84. The minimum altimetry of the LAU (Local Administrative Unit) is 276. The maximum altimetry of the LAU is 1615. The total population (in thousand) is 2.194. The population density (Inhabitants/km2) in the LAU is 185.3. The population change rate of the LAU in the last 10 years (%) has been 5.40%. The overall regional population density (Inhabitants/km2) is 126.5. The regional population change rate in the last 10 years (%) has been 4.70%.
Income and gross value added,The average per capita income (EUR/year) [Province] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Province] is 27201. The primary sector share of total GVA/year [Province] is 0.30%. The secondary sector share of total GVA/year [Province] is 35.20%. The tertiary sector share of total GVA/year [Province] is 64.50%. The per capita income (EUR/year) [Region] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Region] is 27201. The primary sector share of total GVA/year [Region] is 0.30%. The secondary sector share of total GVA/year [Region] is 35.20%. The tertiary sector share of total GVA/year [Region] is 64.50%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 109. The regional (Region) share of total BPs/year is 7.90%. The number of agricultural holdings in the LAU is 26. The nearest settlement with population over 100000 (km) is 58. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 5.10%. The secondary sector share of total employment/year [Province] is 59.70%. The tertiary sector share of total employment/year [Province] is 35.30%. The primary sector share of total employment/year [Region] is 1.50%. The secondary sector share of total employment/year [Region] is 22.00%. The tertiary sector share of total employment/year [Region] is 76.50%.
Interest on this VC,"Ticino's vineyards are an example of high quality mountain viticulture, with vineyards planted on terraces scattered in small parcels, The VITI quality label characterising quality red wine, produced strictly from Merlot grapes."
Key local assets,"Key local assets include splendid mountain scenary coupled to the Mediterranean climat, very favorable for wine production. The large majority of Ticino vines have always been grown on terraces. Their function is to protect the soil from erosion by the heavy rainfall typical of the prealpine zone. In terms of vines, the key local asset is Merlot, international grape variety, well adapted to the specific climatic conditions of the region. "
Challenges,The main challenge remains to find solutions to optimise the profitability of vineyards on steeply sloping terrain. In terms of sustainability the ecological value of mountain can be further enhanced through the biodiversity enhancement and safeguarding. Overall the type of challenge faced by this VC is unspecified. This VC is classified as Traditional.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland. The local assets include Natural.
