title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Corsican aromatic plant : Immortelle de Corse - 'hélichrysum italicum ssp italicum',"The MOVING reference member state of this VC (Value Chain) is FRANCE INRAE. The reference MOVING Card ID of this VC is VC 10 FR. The reputation and the high price level of the essential oil of helichrysum from Corsica are linked to the image of the wild nature of Corsica. The value of production is low relative to the activities of distillation, trading and prescription of oils. The downstream power runs the risk of disembedding the activity and wild harvests to have negative impacts on the environment. What chain of values that are both fair and sustainable? The oil GI certification project was unsuccessful. The GI certification project for the oil did not succeed apart from a few AB oils, no protection, apart from industrial brands (cosmetics, perfumery, aromatherapy, etc.), does not guarantee collective protection.","Corsica, INRAE, Helichrysum, Value chain, Geographical indication, Organic certification, Cosmetics, Perfumery, Aromatherapy","http://www.wikidata.org/entity/Q14112, http://www.wikidata.org/entity/Q1665106, http://www.wikidata.org/entity/Q28195, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q325668, http://www.wikidata.org/entity/Q11680670, http://www.wikidata.org/entity/Q131207, http://www.wikidata.org/entity/Q131746, http://www.wikidata.org/entity/Q206202",French single territorial collectivity and island in the Mediterranean Sea|former French national institute|genus of plants|functions of a company affecting its costs and quality and give it a competitive advantage|name or sign used on certain products which corresponds to a specific geographical location or origin|certification process for producers of organic food and other organic agricultural products|substances used to enhance the appearance or odor of the human body|mixture used to produce a pleasant smell|usage of aromatic materials for improving well-being,"https://upload.wikimedia.org/wikipedia/commons/9/92/Corse-photosat.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/11/Helichrysum_sanguineum.jpg,null,https://upload.wikimedia.org/wikipedia/commons/2/27/European_Union%27s_Geographical_Indications_logos_crop.png,null,https://upload.wikimedia.org/wikipedia/commons/0/0a/Cosmetics-1078712_1280.jpg,https://upload.wikimedia.org/wikipedia/commons/9/91/Perfume_set_from_Sovjetunio_cca_1965.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/Teatreeoil.jpg","42.15 9.0833333333333,null,null,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Corsican moutains. The reference mountain landscape of this VC is Corsica. The value chain concerns all the corsican region because of the homogeneity of resources, dieseases impcats, driving skills, plants varieties and labels.",Corsica,http://www.wikidata.org/entity/Q14112,French single territorial collectivity and island in the Mediterranean Sea,https://upload.wikimedia.org/wikipedia/commons/9/92/Corse-photosat.jpg,42.15 9.0833333333333
Geography and population,The size of the area (km2) is 8722. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 2706. The total population (in thousand) is 0.334. The population density (Inhabitants/km2) in the LAU is 38.6. The population change rate of the LAU in the last 10 years (%) has been 1.10%. The overall regional population density (Inhabitants/km2) is 38.6. The regional population change rate in the last 10 years (%) has been 1.10%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 25400. The total Gross Value Added (GVA) (EUR million/year) [Province] is 8034.12. The primary sector share of total GVA/year [Province] is unspecified. The secondary sector share of total GVA/year [Province] is unspecified. The tertiary sector share of total GVA/year [Province] is unspecified. The per capita income (EUR/year) [Region] is 25400. The total Gross Value Added (GVA) (EUR million/year) [Region] is 8034.12. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Euro","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q4916","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|currency of most countries in the European Union","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Euro_coins_and_banknotes.jpg","null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is unspecified. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 2626. The nearest settlement with population over 100000 (km) is 333. In this region protected areas are present.,"Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is unspecified. The secondary sector share of total employment/year [Province] is unspecified. The tertiary sector share of total employment/year [Province] is unspecified. The primary sector share of total employment/year [Region] is 0.036. The secondary sector share of total employment/year [Region] is 0.162. The tertiary sector share of total employment/year [Region] is 0.802.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"The valuation of essential oils by distillery is recent in Corsica. Helicrysum is emblematic of the dynamics of the aromatic plant sector and enjoys a high market value for proven therapeutic indications (anti-hematoma, anti-inflammatory, anticoagulant, anti-lebbitic). At the beginning, samples were taken from spontaneous stands. The risk of resource depletion and the desire to guarantee production has led the institutions to finance plantations.However, the value of the oils obtained from the spontaneous plant seems higher. Elicryse addresses both a question of resilience in terms of market value and sustainability of the environment. Finally, the most profitable operation is distillation. It is therefore the distiller who benefits most of the value sensu stricto. The final value is the result of a combination of values of different natures: the culture of the nourishing tree, constitution of income, maintenance of ecosystems and management of space.","Corsica, Essential oil, Distillation, Helichrysum, Hematoma, Anti-inflammatory, Anticoagulant, Anticonvulsant, Ecosystem","http://www.wikidata.org/entity/Q14112, http://www.wikidata.org/entity/Q170885, http://www.wikidata.org/entity/Q101017, http://www.wikidata.org/entity/Q28195, http://www.wikidata.org/entity/Q468787, http://www.wikidata.org/entity/Q581996, http://www.wikidata.org/entity/Q215118, http://www.wikidata.org/entity/Q576618, http://www.wikidata.org/entity/Q37813","French single territorial collectivity and island in the Mediterranean Sea|hydrophobic liquid containing volatile aroma compounds from plants|method of separating mixtures based on differences in volatility of components in a boiling liquid mixture|genus of plants|localized collection of blood outside the blood vessels|substance that reduces or suppresses inflammation|chemical substances that prevent or reduce coagulation of blood, prolonging the clotting time|class of medications|community of living organisms together with the nonliving components of their environment, interacting as a system","https://upload.wikimedia.org/wikipedia/commons/9/92/Corse-photosat.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/RutaGraveolensEssentialOil.png,https://upload.wikimedia.org/wikipedia/commons/7/76/Dorf_Lore_-_Schnaps-Destillation.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Helichrysum_sanguineum.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Upper_Arm_Bruise.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/4/46/Wild_zebra_on_Kenya_countryside.jpg","42.15 9.0833333333333,null,null,null,null,null,null,null,null"
Challenges,"The challenge is to maintain the therapeutic qualities of the oils, to stabilize highly profitable production with a strong reputation, to preserve spontaneous stands of uncontrolled harvests and finally to prevent integration by large industrial operators. How to design a fair value chain between operators and maintain value in production areas?. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.","Essential oil, Production, Value chain, Operator, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q170885, http://www.wikidata.org/entity/Q663143, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q228588, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","hydrophobic liquid containing volatile aroma compounds from plants|Wikimedia disambiguation page|functions of a company affecting its costs and quality and give it a competitive advantage|Wikimedia disambiguation page|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/b/ba/RutaGraveolensEssentialOil.png,null,null,null,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Innovation consists in maintaining a high level of quality and a reputation based on cultivated production on the one hand and in organizing a sector for equitable sharing of value on the other hand. The innovation is related to New products, New marketing strategies and New governance systems. The land use systems involved are Natural land and Cultivation of helichrysum plantations. The local assets include Natural.","Value chain, Innovation, New product development, Marketing strategy, Governance, Land use, Natural environment, Cultivation, Helichrysum, Nature","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q1395034, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q1553864, http://www.wikidata.org/entity/Q1165944, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q5193165, http://www.wikidata.org/entity/Q28195, http://www.wikidata.org/entity/Q7860","functions of a company affecting its costs and quality and give it a competitive advantage|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|complete process of bringing a new product to market|business strategy for marketing and advertising|all of the processes of governing, whether undertaken by a government, market or network, whether over a family, tribe, formal or informal organization or territory and whether through the laws, norms, power or language of an organized society|characterization of land based on what can be built on it and what the land can be used for|all living and non-living things occurring naturally on Earth or some region thereof|Wikimedia disambiguation page|genus of plants|natural, physical, or material world and its phenomena","null,null,https://upload.wikimedia.org/wikipedia/commons/5/5a/TypesOfNewProducts.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,null,null,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/11/Helichrysum_sanguineum.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg","null,null,null,null,null,null,null,null,null,null"
Concluding remarks,"This VC is also present in other regions of France (Drôme) where about 100ha of Curry plant might be produced as well. It was identified in Italy, North Macedonia, Slovakia, Switzerland, and Spain.The activity can join other activities which mobilize in the construction of the value of the species existing in the spontaneous state and where the agricultural possibilities are not yet completely stabilized. PAM but also fruits like acorn can enrich the approach.","France, Drôme, Italy, North Macedonia, Slovakia, Switzerland, Spain, Curry plant, Pistachio, Acorn","http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q38, http://www.wikidata.org/entity/Q221, http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q39, http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q1587861, http://www.wikidata.org/entity/Q36071, http://www.wikidata.org/entity/Q3914781","country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)|French department|country in southern Europe|country in southeastern Europe|country in Central Europe|country in Central Europe|country in southwestern Europe with territories in Africa|species of plant|species of plant|fruit/nut of the oak tree","https://upload.wikimedia.org/wikipedia/commons/1/15/Paris_from_the_Arc_de_Triomphe%2C_17_October_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Colosseo_2020.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Map_of_the_Republic_of_Macedonia-mk.svg,https://upload.wikimedia.org/wikipedia/commons/7/72/000_Sllovakia_harta.PNG,null,https://upload.wikimedia.org/wikipedia/commons/d/d3/Spain_-_Location_Map_%282013%29_-_ESP_-_UNOCHA.svg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Helichrysum_italicum_%28immortelle%29.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a8/Pistacchio_di_Bronte.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Quercus_robur_acorn_-_Keila.jpg","47 2,44.75 5.1666666666667,42.5 12.5,41.65 21.716667,48.7 19.7,46.798562 8.231973,40.2 -3.5,null,null,null"
