title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
'TELEMEA',"The MOVING reference member state of this VC (Value Chain) is ROMANIA. The reference MOVING Card ID of this VC is VC 10 RO. 'Telemea' cheese is made by adding rennet to milk to curdle it. The resulting curd is removed into cheesecloth, drained and pressed overnight, then cut into square pieces. This first very fresh cheese is called 'Caș' and has its own market / value chain (usually very local because it does not store for very long). Telemea is produced by leaving the fresh cheese to mature in brine. Once mature it is sold via different value chains. Depending upon the specific market targeted these maybe very short and local (e.g. roadside or farmgate sales), or more sophisticated (e.g. vacuum packed and distributed more widely). Most of the large dairy companies produce their own 'Telemea' and this is professionally packaged and distributed to supermarkets via their 'cool chain' operations. There are numerous types of 'Telemea' depending upon their region of production - two of these types are already registered with geographical indications (PGI - Telemea de Sibiu and PDO - Telemea de Ibanesti). Telemea de Vâlcea does not yet have a geographical indication, but it has been applied for.","Romania, Telemea, Caș, Value chain, Brine, Protected Geographical Indication, Protected Designation of Origin, Sibiu, Ibanesti, Vâlcea County, Dairy, Supermarket, Cold chain","http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q1790730, http://www.wikidata.org/entity/Q5055615, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q214403, http://www.wikidata.org/entity/Q363268, http://www.wikidata.org/entity/Q13439060, http://www.wikidata.org/entity/Q83324, http://www.wikidata.org/entity/Q441754, http://www.wikidata.org/entity/Q186838, http://www.wikidata.org/entity/Q637776, http://www.wikidata.org/entity/Q180846, http://www.wikidata.org/entity/Q592197","country in Southeast Europe|Romanian cheese traditionally made of sheep’s milk|type of semi-soft white fresh cheese made from sheep or cow milk, produced in Romania|functions of a company affecting its costs and quality and give it a competitive advantage|solution of very salty water, usually with sodium chloride as the salt|quality policy of the European Union for food|quality policy of the European Union for food|city in Sibiu County, Romania|Wikimedia disambiguation page|county in Romania|business enterprise established for the processing of animal milk|large form of the traditional grocery store|supply chain that uses refrigeration of temperature-sensitive goods from point of manufacture to point of administration/sale","https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Telemea.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/3/33/Lac_sal%C3%A9_dans_la_vall%C3%A9e_du_Panch.JPG,null,https://upload.wikimedia.org/wikipedia/commons/9/9e/2023_Oliwa_z_oliwek_Garda_DOP_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Hermannstadt%2C_Gro%C3%9Fer_Ring_2011a.jpeg,null,https://upload.wikimedia.org/wikipedia/commons/f/fc/Biserica_de_lemn%2C_Judetul_Valcea.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c3/Dairy_Managment_01.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Scheck_In_-_%281%29.jpg,null","46 25,null,null,null,null,null,null,45.8 24.15,null,45.08 24.11,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Southern Romanian Carpathian Mountains. The reference mountain landscape of this VC is Vaideeni commune in Vâlcea County (RO415). The relief of Vâlcea County (RO415) is around one-third mountain area in the north of the county with a mixed land cover of forest and semi-natural grasslands. Two mountain groups dominate the region - the Făgăraș Mountains in the east with heights over 2,200 m and the Lotru Mountains in the west with heights over 2,000 m. These are separated by the Olt River valley (one of the most accessible routes through the Southern Carpathians), along which there are smaller groups of mountains - the most spectacular being the Cozia Mountains. The central region of the county is sub-mountainous hilly area with a diverse mosaic landscape of fruit orchards, vineyards and semi-natural grasslands - and in the south there is high plain area cultivated with cereals and vegetables.","Southern Carpathians, Vaideeni, Vâlcea County, Făgăraș Mountains, Lotru Mountains, Olt (river), Carpathian Mountains, Olt","http://www.wikidata.org/entity/Q217202, http://www.wikidata.org/entity/Q12725245, http://www.wikidata.org/entity/Q186838, http://www.wikidata.org/entity/Q847604, http://www.wikidata.org/entity/Q3506640, http://www.wikidata.org/entity/Q7232840, http://www.wikidata.org/entity/Q1288, http://www.wikidata.org/entity/Q394293","group of mountain ranges located in southern Romania|commune in Vâlcea County, Romania|county in Romania|mountain range in Romania|Mountains in Romania|river in Romania|mountain range in Central and Eastern Europe|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/7/73/Varful-Moldoveanu-scenery.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Biserica_de_lemn_din_Marita-Funduri01.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Biserica_de_lemn%2C_Judetul_Valcea.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/F%C4%83g%C4%83ra%C8%99_Mountains%2C_Romania_-_View_from_Sibiu_04.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Vedere_spre_Vf._Piatra_Alba_%282178m%29_de_pe_Vf._Cristesti_%282202m%29_-_panoramio.jpg,null,https://upload.wikimedia.org/wikipedia/commons/5/50/Morskie_oko_o_swicie.jpg,null","45.6 24.73,45.172222222222224 23.927777777777777,45.08 24.11,45.6 24.73,45.5 23.86667,null,47 25.5,null"
Geography and population,The size of the area (km2) is 159.2. The minimum altimetry of the LAU (Local Administrative Unit) is unspecified. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 3.93. The population density (Inhabitants/km2) in the LAU is 24.69. The population change rate of the LAU in the last 10 years (%) is unspecified. The overall regional population density (Inhabitants/km2) is 66.9. The regional population change rate in the last 10 years (%) has been -0.17%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 8300. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2652.3. The primary sector share of total GVA/year [Province] is 5.50%. The secondary sector share of total GVA/year [Province] is 38.40%. The tertiary sector share of total GVA/year [Province] is 56.20%. The per capita income (EUR/year) [Region] is 8100. The total Gross Value Added (GVA) (EUR million/year) [Region] is 14241.21. The primary sector share of total GVA/year [Region] is 7.40%. The secondary sector share of total GVA/year [Region] is 38.00%. The tertiary sector share of total GVA/year [Region] is 54.70%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 11526. The regional (Region) share of total BPs/year is 63.10%. The number of agricultural holdings in the LAU is 119190. The nearest settlement with population over 100000 (km) is unspecified. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 34.60%. The secondary sector share of total employment/year [Province] is 28.70%. The tertiary sector share of total employment/year [Province] is 36.70%. The primary sector share of total employment/year [Region] is 38.70%. The secondary sector share of total employment/year [Region] is 26.80%. The tertiary sector share of total employment/year [Region] is 34.50%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"'Telemea' is a salted white cheese most commonly made from sheep or cows' milk, but sometimes also from goats' milk. Varying degrees of ageing. Widepread traditional mountain product in Romania. Similar to Greek 'feta'. This specific value chain is for a 'Telemea' made from cows' milk by a small-scale producer in Vaideeni commune (174021) in Vâlcea County (RO415). It is registered as a 'Mountain Product' (https://produse.produsmontan.ro/produs/branza-telemea-din-lapte-de-vaca/).","Telemea, Romania, Greece, Vaideeni, Vâlcea County, Sheep, Cow's milk, Goat's milk, Feta","http://www.wikidata.org/entity/Q1790730, http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q41, http://www.wikidata.org/entity/Q12725245, http://www.wikidata.org/entity/Q186838, http://www.wikidata.org/entity/Q7368, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q1418287, http://www.wikidata.org/entity/Q182760","Romanian cheese traditionally made of sheep’s milk|country in Southeast Europe|country in Southeast Europe|commune in Vâlcea County, Romania|county in Romania|domesticated ruminant bred for meat, wool, and milk|white liquid produced by the mammary glands of mammals|liquid food produced by female goats|brined white cheese from Greece","https://upload.wikimedia.org/wikipedia/commons/2/29/Telemea.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/The_Acropolis_and_Mount_Hymettus_from_Philopappos_Hill_on_July_18%2C_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Biserica_de_lemn_din_Marita-Funduri01.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Biserica_de_lemn%2C_Judetul_Valcea.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flock_of_sheep.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Glass_of_Milk_%2833657535532%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Geitenmelk.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Feta_Greece_2.jpg","null,46 25,38.5 23,45.172222222222224 23.927777777777777,45.08 24.11,null,null,null,null"
Key local assets,The natural asset used for producing 'Telemea' in the mountain areas of Vâlcea County (RO415) is mainly semi-natural grasslands (private meadows for hay-making and common pastures for communal grazing). ,"Telemea, Vâlcea County, Grassland, Pasture","http://www.wikidata.org/entity/Q1790730, http://www.wikidata.org/entity/Q186838, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q30121",Romanian cheese traditionally made of sheep’s milk|county in Romania|area with vegetation dominated by grasses|land used for grazing,"https://upload.wikimedia.org/wikipedia/commons/2/29/Telemea.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Biserica_de_lemn%2C_Judetul_Valcea.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a6/Mallnitz_Tauerntal_20220825.jpg","null,45.08 24.11,null,null"
Challenges,"Value chains for artisanal products such as the 'Telemea' produced in the Vaideeni commune are vulnerable since they command a premium price and there are many lower quality / 'counterfeit' products on the market that undermine their sales. Registration as a 'Mountain Product' helps greatly to promote the product and ensure consumer confidence, but such products still rely heavily upon direct sales which can be interrupted / disrupted by external factors beyond the control of the producers (e.g. covid). This vulnerability could be overcome to a great extent by inclusion into better established value chains (e.g. there are now many supermarkets in Romania with sections selling local dairy products), but this also brings additional challenges for small-scale farms. Lack of labour due to rural depopulation is also a very specific challenge which puts local farmers under increasing pressure. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.","Vaideeni, Romania, Value chain, Telemea, Geographical indication, Supermarket, Rural depopulation, COVID-19 pandemic","http://www.wikidata.org/entity/Q12725245, http://www.wikidata.org/entity/Q218, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q1790730, http://www.wikidata.org/entity/Q325668, http://www.wikidata.org/entity/Q180846, http://www.wikidata.org/entity/Q2608153, http://www.wikidata.org/entity/Q81068910","commune in Vâlcea County, Romania|country in Southeast Europe|functions of a company affecting its costs and quality and give it a competitive advantage|Romanian cheese traditionally made of sheep’s milk|name or sign used on certain products which corresponds to a specific geographical location or origin|large form of the traditional grocery store|population shift from rural to urban areas|pandemic caused by SARS-CoV-2 (2019–2023)","https://upload.wikimedia.org/wikipedia/commons/2/2d/Biserica_de_lemn_din_Marita-Funduri01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Bucharest_University_Square_%28cropped%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/2/29/Telemea.jpg,https://upload.wikimedia.org/wikipedia/commons/2/27/European_Union%27s_Geographical_Indications_logos_crop.png,https://upload.wikimedia.org/wikipedia/commons/b/bf/Scheck_In_-_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/22.Santa_Mar%C3%ADa_d%27Ascaso.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Covid-19_SP_-_UTI_V._Nova_Cachoeirinha.jpg","45.172222222222224 23.927777777777777,46 25,null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural.,"Grassland, Value chain, Innovation, Natural environment","http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q43619","area with vegetation dominated by grasses|functions of a company affecting its costs and quality and give it a competitive advantage|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|all living and non-living things occurring naturally on Earth or some region thereof","https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,null,null,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg","null,null,null,null"
