title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Pine Honey,"The MOVING reference member state of this VC (Value Chain) is TURKEY. The reference MOVING Card ID of this VC is VC 11 TR. According to the 2020 TURKSTAT data, the number of enterprises engaged in beekeeping in Mugla is 4741 and the total number of hives is 900,583. It is the preferred region for migratory beekeepers. The beekeeping sector provides employment opportunities for many people.","Turkish Statistical Institute, Muğla, Turkey, Beekeeping, Value chain","http://www.wikidata.org/entity/Q1375058, http://www.wikidata.org/entity/Q216912, http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q176353, http://www.wikidata.org/entity/Q646107",Turkey's principal government institution in charge of statistics and census data|city in southwestern Turkey|country in West Asia and Southeast Europe|care and breeding of honey bees|functions of a company affecting its costs and quality and give it a competitive advantage,"null,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mu%C4%9Fla_188.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e4/Ankara_%2816290014657%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/INTA_-_productoras_ap%C3%ADcolas_%281%29.jpg,null","39.916022222222225 32.844588888888886,37.216666666667 28.366666666667,39 36,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Menteşe Mountains. The reference mountain landscape of this VC is Ula. Muğla province has a Mediterranean climate. It has excellent ecological conditions for agricultural production. Muğla has the longest coastline in Turkey. It is one of the most-visited tourist destinations for both foreign and domestic tourists, due to its unique nature and climate.","Ula, Muğla, Muğla, Mediterranean Sea, Turkey, Mediterranean climate","http://www.wikidata.org/entity/Q1803032, http://www.wikidata.org/entity/Q216912, http://www.wikidata.org/entity/Q4918, http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q13996","district of Muğla, southwestern Turkey|city in southwestern Turkey|sea between Europe, Africa and Asia|country in West Asia and Southeast Europe|type of climate characterised by mild to cold wet winters and mild to hot dry summers","https://upload.wikimedia.org/wikipedia/commons/4/40/Montage_of_Ula%2C_2022.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mu%C4%9Fla_188.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d8/Mediterranean_Sea_political_map-en.svg,https://upload.wikimedia.org/wikipedia/commons/e/e4/Ankara_%2816290014657%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/KoppenclassificationworldmapCs.png","37.102222222222224 28.41777777777778,37.216666666667 28.366666666667,38 17,39 36,null"
Geography and population,The size of the area (km2) is 479. The minimum altimetry of the LAU (Local Administrative Unit) is 600. The maximum altimetry of the LAU is 0. The total population (in thousand) is 26.058. The population density (Inhabitants/km2) in the LAU is 54.40083507. The population change rate of the LAU in the last 10 years (%) has been 11.18%. The overall regional population density (Inhabitants/km2) is 85.2. The regional population change rate in the last 10 years (%) has been 13.71%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region, Population growth","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q386191","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|increase in the number of individuals in a population","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,null","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 8500. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7265.2. The primary sector share of total GVA/year [Province] is 13.10%. The secondary sector share of total GVA/year [Province] is 22.70%. The tertiary sector share of total GVA/year [Province] is 60.10%. The per capita income (EUR/year) [Region] is 7300. The total Gross Value Added (GVA) (EUR million/year) [Region] is 20539.22. The primary sector share of total GVA/year [Region] is 13.50%. The secondary sector share of total GVA/year [Region] is 37.50%. The tertiary sector share of total GVA/year [Region] is 52.90%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 174249. The regional (Region) share of total BPs/year is 83.80%. The number of agricultural holdings in the LAU is 27000. The nearest settlement with population over 100000 (km) is 17. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is Medium. The secondary sector share of total employment/year [Province] is Low. The tertiary sector share of total employment/year [Province] is High. The primary sector share of total employment/year [Region] is 26.50%. The secondary sector share of total employment/year [Region] is 19.50%. The tertiary sector share of total employment/year [Region] is 54.00%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Turkey is an important pine honey producer and exporter. Pine honey has a regional reputation and has a Geographical Indication from the Turkish Patent and Trademark Office It is a high quality product. Pine honey can be stored for a long time without its texture being affected. Since the honey does not crystallize for a long time and has a functional food feature, it is wide scope for its use in the medicine and food sectors. Agriculture and tourism are closely interconnected in this area. Beekeeping is a traditional agricultural activity which is found in almost every region of Turkey. Organic honey production is encouraged with the projects developed in recent years.","Turkey, Pine honey, Geographical indication, Turkish Patent and Trademark Office, Agriculture, Tourism, Beekeeping, Medicine, Food","http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q7195419, http://www.wikidata.org/entity/Q325668, http://www.wikidata.org/entity/Q7855305, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q176353, http://www.wikidata.org/entity/Q11190, http://www.wikidata.org/entity/Q2095","country in West Asia and Southeast Europe|type of Honeydew honey|name or sign used on certain products which corresponds to a specific geographical location or origin|null|cultivation of plants and animals to provide useful products|travel for pleasure or business|care and breeding of honey bees|field of study for diagnosing, treating and preventing disease|any substance consumed to provide nutritional support for the body; form of energy stored in chemical","https://upload.wikimedia.org/wikipedia/commons/e/e4/Ankara_%2816290014657%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/2/27/European_Union%27s_Geographical_Indications_logos_crop.png,null,https://upload.wikimedia.org/wikipedia/commons/7/76/Unload_wheat_by_the_combine_Claas_Lexion_584.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,https://upload.wikimedia.org/wikipedia/commons/0/01/INTA_-_productoras_ap%C3%ADcolas_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Physical_examination.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Good_Food_Display_-_NCI_Visuals_Online.jpg","39 36,null,null,null,null,null,null,null,null"
Key local assets,Pine honey has been produced in this region for a long time. 75-80% of Turkey s pine honey is produced in Muğla Province. 68% of Muğla s land area is covered by forests and pine honey production takes place in only 8% of these forested areas. There are 385 forest villages in Muğla and 260 of these are pine honey production areas. ,"Muğla Province, Muğla, Pine honey, Turkey, Forest, Forest village","http://www.wikidata.org/entity/Q123934, http://www.wikidata.org/entity/Q216912, http://www.wikidata.org/entity/Q7195419, http://www.wikidata.org/entity/Q43, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q351190",province in southwest Turkey|city in southwestern Turkey|type of Honeydew honey|country in West Asia and Southeast Europe|dense collection of trees covering a relatively large area|type of village,"https://upload.wikimedia.org/wikipedia/commons/e/ea/Districts_of_Province_Mu%C4%9Fla.png,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mu%C4%9Fla_188.JPG,null,https://upload.wikimedia.org/wikipedia/commons/e/e4/Ankara_%2816290014657%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/Waldhufen.png","37.030277777778 28.506388888889,37.216666666667 28.366666666667,null,39 36,null,null"
Challenges,Honey yield is reduced when climatic conditions are unfavorable. Accommodation is a problem for migratory beekeeper. Young people are not much interest beekeeping. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Innovative.,"Honey, Climate, Accommodation, Beekeeping, Venture capital, Innovation","http://www.wikidata.org/entity/Q10987, http://www.wikidata.org/entity/Q7937, http://www.wikidata.org/entity/Q122067, http://www.wikidata.org/entity/Q176353, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q174165","sweet food made by bees mostly using nectar from flowers|long-term statistical characterization of atmospheric conditions in a region, typically averaged over periods of 30 years or more|Wikimedia disambiguation page|care and breeding of honey bees|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/c/cc/Runny_hunny.jpg,https://upload.wikimedia.org/wikipedia/commons/3/32/K%C3%B6ppen-Geiger_Climate_Classification_Map_%281980%E2%80%932016%29_no_borders.png,null,https://upload.wikimedia.org/wikipedia/commons/0/01/INTA_-_productoras_ap%C3%ADcolas_%281%29.jpg,null,null","null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. Organic and Rainforest Alliance certified tea increasing in the region. The innovation is related to the whole VC. The land use systems involved are Forestry. The local assets include Natural and cultural.,"Rainforest Alliance, Value chain, Organic farming, Forestry, Nature, Culture","http://www.wikidata.org/entity/Q2034373, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q11042","nonprofit organization in New York, United States|functions of a company affecting its costs and quality and give it a competitive advantage|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|natural, physical, or material world and its phenomena|shared aspects of a society's way of life","null,null,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null"
