title,description
Collection of forest mushrooms for own consumption,"The MOVING reference member state of this VC (Value Chain) is SLOVAKIA. The reference MOVING Card ID of this VC is VC 14 SK. Key activities: collection of forest non-wood products, home processing. Key actors: forest owners, public, state restrictions Positive impact on local and regional SES is a contribution to food availability, local products."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Slovak Carpathians. The reference mountain landscape of this VC is Kamienka. Municipality located close to the district city Stará Ľubovňa. The district has numerous touristic possibilities, inluding spa, ski areals, historic monuments, and hiking trails."
Geography and population,The size of the area (km2) is 29.17. The minimum altimetry of the LAU (Local Administrative Unit) is 588. The maximum altimetry of the LAU is 588. The total population (in thousand) is 1.364. The population density (Inhabitants/km2) in the LAU is 46.75. The population change rate of the LAU in the last 10 years (%) has been -0.02%. The overall regional population density (Inhabitants/km2) is 92.02. The regional population change rate in the last 10 years (%) has been 0.02%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 10400. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7679.5. The primary sector share of total GVA/year [Province] is 2.53%. The secondary sector share of total GVA/year [Province] is 47.99%. The tertiary sector share of total GVA/year [Province] is 49.48%. The per capita income (EUR/year) [Region] is 11800. The total Gross Value Added (GVA) (EUR million/year) [Region] is 17202.16. The primary sector share of total GVA/year [Region] is 2.30%. The secondary sector share of total GVA/year [Region] is 49.09%. The tertiary sector share of total GVA/year [Region] is 48.61%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 856. The regional (Region) share of total BPs/year is 0.69%. The number of agricultural holdings in the LAU is 3515. The nearest settlement with population over 100000 (km) is 204. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 3.00%. The secondary sector share of total employment/year [Province] is 34.00%. The tertiary sector share of total employment/year [Province] is 63.00%. The primary sector share of total employment/year [Region] is 3.00%. The secondary sector share of total employment/year [Region] is 34.00%. The tertiary sector share of total employment/year [Region] is 63.00%.
Interest on this VC,The VC describes popular public activity in Slovak forests relating to mushroom picking for own domestic use. Commercialization of mushrooms and forest fruits is not usual in Slovakia. Some informal selling occurs from individual collectors contributing to family livelihood. A webpage for collectors exists where people can share the actual place of mushrooms grows and their experiences. Collection of forest mushrooms and forest fruits by public is very common activity in Slovak mountain forests.
Key local assets,Natural assets are forests. Cultural assests are traditional activity in forest and knowledge about edible mushroom species. 
Challenges,1) the collectors are not always aware of restrictions for plant collection in National Parcs and National Natural Reserves. 2) no rules about the amount of mushrooms and forest fruits that individuals can collect. 3) the knowledge needed from collectors to recognize edible mushrooms and fruits. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Forestry. The local assets include Natural and cultural.
Concluding remarks,"It is practically present in all mountain NUTS3 in Slovakia: SK 022, SK 031, SK 032, SK 041, SK 042."
