title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
"Wine from Serra da Estrela, one of the subregions of Dão Demarcated Region","The MOVING reference member state of this VC (Value Chain) is PORTUGAL ESTRELA. The reference MOVING Card ID of this VC is VC 11 PT2. In the Dão Demarcated Region the geographical conditions are excellent for the production of wines. At Serra da Estrela, there are several hectares of vineyards of different varieties and ages, that produce the grapes that originate Dão Wine PDO of Serra da Estrela Subregion. This wine is sold at national level.","Serra da Estrela, Serra da Estrela Subregion, Portugal, Value chain, Dão wine, Denominación de Origen Protegida, Wine","http://www.wikidata.org/entity/Q738004, http://www.wikidata.org/entity/Q920673, http://www.wikidata.org/entity/Q45, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q1269612, http://www.wikidata.org/entity/Q3139487, http://www.wikidata.org/entity/Q282",highest mountain range in Continental Portugal|former NUTS3 statistical subregion of Portugal integrated in the NUTS2 Centro region|country in Southwestern Europe|functions of a company affecting its costs and quality and give it a competitive advantage|wine region|null|alcoholic drink typically made from grapes through the fermentation process,"https://upload.wikimedia.org/wikipedia/commons/2/20/Foto3_SGiao_Small.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/3d/Carte_du_Portugal.png,null,https://upload.wikimedia.org/wikipedia/commons/3/3b/Dao_red_wine.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg","40.32188889 -7.61291667,40.41666667 -7.7,38.7 -9.183333333333334,null,40.5199866 -7.887213,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Cordilheira Central (RR08). The reference mountain landscape of this VC is Seia. Located on the western slope of Serra da Estrela, Seia is a municipality with 21 parishes, in the district of Guarda in the Centre region of Portugal. Seia shares with the municipalities of Covilhã and Manteigas, the highest point in mainland Portugal at 1993 meters of altitude. Seia has a strong industrial tradition, mainly related to textiles and the distribution of electricity. The production of sheep's cheese is also a tradition.","Seia, Serra da Estrela, Guarda, Portugal, Portugal, Covilhã, Manteigas, Seia, Portugal, Guarda District, Manteigas","http://www.wikidata.org/entity/Q2452531, http://www.wikidata.org/entity/Q738004, http://www.wikidata.org/entity/Q750594, http://www.wikidata.org/entity/Q45, http://www.wikidata.org/entity/Q849026, http://www.wikidata.org/entity/Q15945483, http://www.wikidata.org/entity/Q76017, http://www.wikidata.org/entity/Q273533, http://www.wikidata.org/entity/Q986093",civil parish in Portugal|highest mountain range in Continental Portugal|municipality in Portugal|country in Southwestern Europe|municipality in Portugal|municipality of Portugal|municipality in Portugal|district of Portugal|municipality of Portugal,"https://upload.wikimedia.org/wikipedia/commons/e/e9/Pelourinho_de_Seia_-_Portugal_%28226962538%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Foto3_SGiao_Small.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/GuardaCathedral2.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Carte_du_Portugal.png,https://upload.wikimedia.org/wikipedia/commons/a/a8/Covilha%2C_view_from_Serra_da_Estrela.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5b/Manteigas-54-2011-gje.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Seia_-_Portugal_%28247720203%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/5/5b/Manteigas-54-2011-gje.jpg","40.420277777778 -7.7033333333333,40.32188889 -7.61291667,40.53638888888889 -7.2683333333333335,38.7 -9.183333333333334,40.28333333 -7.5,40.4 -7.5333333333333,40.42203 -7.70245,40.536944444444 -7.2680555555556,40.4 -7.5333333333333"
Geography and population,The size of the area (km2) is 435.41. The minimum altimetry of the LAU (Local Administrative Unit) is 159. The maximum altimetry of the LAU is 1993. The total population (in thousand) is 22.234. The population density (Inhabitants/km2) in the LAU is 51. The population change rate of the LAU in the last 10 years (%) has been -0.11%. The overall regional population density (Inhabitants/km2) is 78.6. The regional population change rate in the last 10 years (%) has been -0.05%.,"Lau Islands, Area, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q11500, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|measure of the extent of a two-dimensional region on a curved surface or flat plane|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 13122.59. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2534.72. The primary sector share of total GVA/year [Province] is 3.67%. The secondary sector share of total GVA/year [Province] is 24.16%. The tertiary sector share of total GVA/year [Province] is 72.00%. The per capita income (EUR/year) [Region] is 16576.33. The total Gross Value Added (GVA) (EUR million/year) [Region] is 33268.83. The primary sector share of total GVA/year [Region] is 3.44%. The secondary sector share of total GVA/year [Region] is 30.35%. The tertiary sector share of total GVA/year [Region] is 67.00%.,"Deutsche Mark, Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q16068, http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","official currency of West Germany and later Germany from 1948 to 2002|average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","https://upload.wikimedia.org/wikipedia/commons/b/b8/1_mark_brd_1967_retouched.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 1245. The regional (Region) share of total BPs/year is 1.96%. The number of agricultural holdings in the LAU is 1728. The nearest settlement with population over 100000 (km) is 64.2. In this region protected areas are present.,"Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 20.11%. The secondary sector share of total employment/year [Province] is 34.59%. The tertiary sector share of total employment/year [Province] is 45.30%. The primary sector share of total employment/year [Region] is 13.25%. The secondary sector share of total employment/year [Region] is 48.20%. The tertiary sector share of total employment/year [Region] is 38.55%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Product connected to territorial idendity. The Dão Demarcated Region was delimited in 1908, becoming the second demarcated wine region in Portugal. Particulary treathen land use system - Vineyards. Product with PDO certification. Product available through e-commerce. Product highly characteristic of the MRL. Product highly connected to land use and landscape management.","Portugal, Dão wine, Vineyard, Protected Designation of Origin, E-commerce, Landscape ecology","http://www.wikidata.org/entity/Q45, http://www.wikidata.org/entity/Q1269612, http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q13439060, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q738011",country in Southwestern Europe|wine region|plantation of grape-bearing vines|quality policy of the European Union for food|type of business industry usually conducted over the Internet|science of relationships between ecological processes in the environmental landscape and particular ecosystems,"https://upload.wikimedia.org/wikipedia/commons/3/3d/Carte_du_Portugal.png,https://upload.wikimedia.org/wikipedia/commons/3/3b/Dao_red_wine.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/2023_Oliwa_z_oliwek_Garda_DOP_%282%29.jpg,null,null","38.7 -9.183333333333334,40.5199866 -7.887213,null,null,null,null"
Key local assets,"Serra da Estrela subregion that extends over the munincipalities of Gouveia and Seia, along the west slope of the mountain, is one of the most distinctive terroirs in Dão. It has granitic soils and its climate is marked by cold, snowy, very rainy winters and hot, dry summers. The vineyards are located between 400 m and 700 m of altitude and the oldest ones are over 100 years old. Of the main grape varieties of the Dão Wine, the following stand out: Touriga Nacional, Encruzado, Alfrocheiro Preto and Jaen. ","Serra da Estrela, Gouveia, Portugal, Seia, Touriga Nacional, Encruzado, Alfrocheiro Preto, Jaén, Spain, Gouveia, Seia, Dão wine, Jaén (grape)","http://www.wikidata.org/entity/Q738004, http://www.wikidata.org/entity/Q599317, http://www.wikidata.org/entity/Q2452531, http://www.wikidata.org/entity/Q1503069, http://www.wikidata.org/entity/Q1340115, http://www.wikidata.org/entity/Q588556, http://www.wikidata.org/entity/Q15681, http://www.wikidata.org/entity/Q416250, http://www.wikidata.org/entity/Q76017, http://www.wikidata.org/entity/Q1269612, http://www.wikidata.org/entity/Q230847",highest mountain range in Continental Portugal|municipality in Portugal|civil parish in Portugal|varietal|variety of grape|varietal|municipality in Spain|Wikimedia disambiguation page|municipality in Portugal|wine region|Wikimedia disambiguation page,"https://upload.wikimedia.org/wikipedia/commons/2/20/Foto3_SGiao_Small.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/C%C3%A2mara_Municipal_de_Gouveia_-_Portugal_%28347601515%29.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Pelourinho_de_Seia_-_Portugal_%28226962538%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Touriga_Nacional.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Encruzado.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Alfrocheiro.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Catedral_de_Ja%C3%A9n_%28Espa%C3%B1a%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/5/58/Seia_-_Portugal_%28247720203%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Dao_red_wine.jpg,null","40.32188889 -7.61291667,40.5 -7.6,40.420277777778 -7.7033333333333,null,null,null,37.769722222222 -3.7888888888889,null,40.42203 -7.70245,40.5199866 -7.887213,null"
Challenges,"Land abandonment. Despite having enormous potential for the production of great red and white wines, it is also a region that has been destroying its heritage of old vineyards of native grape varieties, as vineyards are disappearing. Will climate change affect vineyards and wine quality?. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional.","Wine, Vineyard, Climate change, Grape, Tradition","http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q10978, http://www.wikidata.org/entity/Q82821",alcoholic drink typically made from grapes through the fermentation process|plantation of grape-bearing vines|human-caused changes to climate on Earth|edible berry of a flowering plant in the family Vitaceae|custom passed down through generations,"https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Wine_grapes03.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg","null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland. The local assets include N/A.,"Value chain, Cropland","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q3395383",functions of a company affecting its costs and quality and give it a competitive advantage|land used for agricultural purposes,"null,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg","null,null"
