title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
E-commerce and governement incentives to support domestic game meat consumption,"The MOVING reference member state of this VC (Value Chain) is SLOVAKIA. The reference MOVING Card ID of this VC is VC 13 SK. Activities: hunting, selling, meat processing, accomodation for hunters. Key actors: hunters, consumers, retailers and wholesalers . Positive impact on local and regional SES is an added value to national economy, shorter food chain.","Slovakia, Hunting, Meat processing, Socio-economic status, Food chain, Retail, Wholesale","http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q36963, http://www.wikidata.org/entity/Q955043, http://www.wikidata.org/entity/Q1515895, http://www.wikidata.org/entity/Q159462, http://www.wikidata.org/entity/Q126793, http://www.wikidata.org/entity/Q220695","country in Central Europe|human activity of searching for, pursuing, and catching wild animals|slaughtering, processing, packaging, and distribution of meat from animals such as cattle, pigs, sheep - poultry is not included|economic and social measure of a person's affluence and/or influence|aspects of the ecosystem|sale of goods and services from individuals or businesses to the end-user|sale of goods or merchandise to retailers or other wholesalers rather than end consumers","https://upload.wikimedia.org/wikipedia/commons/7/72/000_Sllovakia_harta.PNG,https://upload.wikimedia.org/wikipedia/commons/3/34/Paul_Childerley_driven_hunt_Finland_06.png,https://upload.wikimedia.org/wikipedia/commons/a/a9/Pork_packing_in_Cincinnati_1873.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a7/FoodWeb.svg,https://upload.wikimedia.org/wikipedia/commons/1/18/Saluhallen_i_Helsingfors_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Birmingham_Wholesale_Markets.jpg","48.7 19.7,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Slovak Carpathians. The reference mountain landscape of this VC is Zliechov. VC is relevant in all NUTS3 mountain regions (row57). Zliechov LAU2 village is located within the Strážov Mountains Protected Landscape Area and near to Strážov Mountain (1,213 m). The surface of the area is formed by highlands and is strongly undulating.","Zliechov, Strážov Mountains Protected Landscape Area, Strážov Mountains, Carpathian Mountains, Nomenclature of Territorial Units for Statistics, Strážov","http://www.wikidata.org/entity/Q207242, http://www.wikidata.org/entity/Q1630001, http://www.wikidata.org/entity/Q1859297, http://www.wikidata.org/entity/Q1288, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q7625938",municipality of Slovakia|protected landscape area of Slovakia|mountain range in Slovakia|mountain range in Central and Eastern Europe|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page,"https://upload.wikimedia.org/wikipedia/commons/c/c9/Kostol_sv._Vavrinca%2C_Zliechov.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Holazne_a_Jedlovina.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Strazov_17-Feb-07_from_Zliechov_02.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Morskie_oko_o_swicie.jpg,null,null","48.94972222 18.43083333,48.95 18.45,48.91666667 18.5,47 25.5,null,null"
Geography and population,The size of the area (km2) is 54.38. The minimum altimetry of the LAU (Local Administrative Unit) is 211. The maximum altimetry of the LAU is 1214. The total population (in thousand) is 0.594. The population density (Inhabitants/km2) in the LAU is 84. The population change rate of the LAU in the last 10 years (%) has been 0.01%. The overall regional population density (Inhabitants/km2) is 130. The regional population change rate in the last 10 years (%) has been -0.02%.,"Lau Islands, Area, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q11500, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|measure of the extent of a two-dimensional region on a curved surface or flat plane|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 13600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7162.7. The primary sector share of total GVA/year [Province] is 1.96%. The secondary sector share of total GVA/year [Province] is 48.91%. The tertiary sector share of total GVA/year [Province] is 49.13%. The per capita income (EUR/year) [Region] is 14800. The total Gross Value Added (GVA) (EUR million/year) [Region] is 24298.45. The primary sector share of total GVA/year [Region] is 2.73%. The secondary sector share of total GVA/year [Region] is 53.59%. The tertiary sector share of total GVA/year [Region] is 43.68%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 327. The regional (Region) share of total BPs/year is 0.32%. The number of agricultural holdings in the LAU is 1636. The nearest settlement with population over 100000 (km) is 204. In this region protected areas are present.,"Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 3.00%. The secondary sector share of total employment/year [Province] is 43.00%. The tertiary sector share of total employment/year [Province] is 54.00%. The primary sector share of total employment/year [Region] is 3.00%. The secondary sector share of total employment/year [Region] is 43.00%. The tertiary sector share of total employment/year [Region] is 54.00%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg","null,null,null,null"
Interest on this VC,"An innovative adaptation of game production during the Corona pandemic crisis. The aim is to sell more Slovak game meat to domestic consumers instead of a meat export to other countries. First, a web application was created for an e-commerce to connect verified hunters or sellers directly with consumers. The consumers can visit the webpage and check meat availability, choose meat type, locality and order the products online. Second, the Slovak governement implemented a project entitled 'Delicatess from the forest' with aim to promote game meat from the Slovak forests available on a domestic market and support collaboration between hunters, foresters, meat processors and traders. Hunting is an important activity in Slovak mountain areas. The VC is a good example of market adaptation to the restrictions during a pandemic situation.","Slovakia, COVID-19 pandemic, Game meat, E-commerce, Hunting, Domestic market, Forester, Meat processing, Trade, Pandemic","http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q81068910, http://www.wikidata.org/entity/Q223930, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q36963, http://www.wikidata.org/entity/Q1047494, http://www.wikidata.org/entity/Q1895303, http://www.wikidata.org/entity/Q955043, http://www.wikidata.org/entity/Q601401, http://www.wikidata.org/entity/Q12184","country in Central Europe|pandemic caused by SARS-CoV-2 (2019–2023)|wild animals under pursuit or taken in hunting|type of business industry usually conducted over the Internet|human activity of searching for, pursuing, and catching wild animals|market where trading happen within a single country|person practicing forestry, the science, art, and profession of managing forests|slaughtering, processing, packaging, and distribution of meat from animals such as cattle, pigs, sheep - poultry is not included|economic branch involving the exchange of goods and services|epidemic of infectious disease that has spread across a large region with global health impact","https://upload.wikimedia.org/wikipedia/commons/7/72/000_Sllovakia_harta.PNG,https://upload.wikimedia.org/wikipedia/commons/f/f6/Covid-19_SP_-_UTI_V._Nova_Cachoeirinha.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Recently_harvested_roe_deer_and_suppressed_rifle%2C_Denmark_01.png,null,https://upload.wikimedia.org/wikipedia/commons/3/34/Paul_Childerley_driven_hunt_Finland_06.png,null,https://upload.wikimedia.org/wikipedia/commons/a/a9/Glenn_Casamassa%2C_USDA_Forest_Service_Pacific_Northwest_Region_Regional_Forester_-_cropped.png,https://upload.wikimedia.org/wikipedia/commons/a/a9/Pork_packing_in_Cincinnati_1873.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Fredmeyer_edit_1.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/1918FluVictimsStLouis.jpg","48.7 19.7,null,null,null,null,null,null,null,null,null"
Key local assets,"Natural assets are forests with wild game. Social asset is a collaboration between hunters, foresters, meat processors and traders. Cultural asset is a tradition of hunting in Slovak mountains. ","Slovakia, Natural capital, Forest, Game (hunting), Social capital, Hunting, Forester, Meat processing, Trade, Cultural heritage","http://www.wikidata.org/entity/Q214, http://www.wikidata.org/entity/Q1540268, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q223930, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q36963, http://www.wikidata.org/entity/Q1895303, http://www.wikidata.org/entity/Q955043, http://www.wikidata.org/entity/Q601401, http://www.wikidata.org/entity/Q210272","country in Central Europe|world's stock of natural resources, which includes geology, soils, air, water and all living organisms|dense collection of trees covering a relatively large area|wild animals under pursuit or taken in hunting|sociology concept|human activity of searching for, pursuing, and catching wild animals|person practicing forestry, the science, art, and profession of managing forests|slaughtering, processing, packaging, and distribution of meat from animals such as cattle, pigs, sheep - poultry is not included|economic branch involving the exchange of goods and services|physical artifact or intangible attribute of a society inherited from past generations","https://upload.wikimedia.org/wikipedia/commons/7/72/000_Sllovakia_harta.PNG,null,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Recently_harvested_roe_deer_and_suppressed_rifle%2C_Denmark_01.png,null,https://upload.wikimedia.org/wikipedia/commons/3/34/Paul_Childerley_driven_hunt_Finland_06.png,https://upload.wikimedia.org/wikipedia/commons/a/a9/Glenn_Casamassa%2C_USDA_Forest_Service_Pacific_Northwest_Region_Regional_Forester_-_cropped.png,https://upload.wikimedia.org/wikipedia/commons/a/a9/Pork_packing_in_Cincinnati_1873.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Fredmeyer_edit_1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Peru_Machu_Picchu_Sunrise.jpg","48.7 19.7,null,null,null,null,null,null,null,null,null"
Challenges,"1) Pandemic situation causes problems to game supplies. Retail chains require relatively large quantities of the same type of meat in a short time. As the game can only be hunted to a limited extent for pandemic measures, it isn't easy to ensure a sufficient amount of game and logistics to retail chains. 2) The government's implemented project is only temporal, and a long-term strategy to increase the amount of game meat available for domestic consumption is necessary. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.","Pandemic, Retail, Game meat, Government, Consumption, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q12184, http://www.wikidata.org/entity/Q126793, http://www.wikidata.org/entity/Q223930, http://www.wikidata.org/entity/Q7188, http://www.wikidata.org/entity/Q5164758, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","epidemic of infectious disease that has spread across a large region with global health impact|sale of goods and services from individuals or businesses to the end-user|wild animals under pursuit or taken in hunting|system or group of people governing an organized community, often a state|Wikimedia disambiguation page|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/1/1d/1918FluVictimsStLouis.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Saluhallen_i_Helsingfors_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Recently_harvested_roe_deer_and_suppressed_rifle%2C_Denmark_01.png,https://upload.wikimedia.org/wikipedia/commons/b/b6/De_ministers_die_deel_uitmaken_van_het_derde_kabinet_Van_Agt_op_de_trappen_van_Paleis_Huis_ten_Bosch_in_%27s-Gravenhage._D_-_SFA001009248.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is Exogenous. The innovation uses two forms of promotion of the product on the domestic market. One is a web application connecting directly hunters and consumers and the second is the government support for product's promotion and availability on domestic market. The innovation is related to New marketing strategies and New governance systems. The land use systems involved are Forestry. The local assets include Natural and social.,"Venture capital, Exogenous variable, Web application, Marketing strategy, Corporate governance, Land use, Forestry, Natural environment, Social capital","http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q61985482, http://www.wikidata.org/entity/Q189210, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q380767, http://www.wikidata.org/entity/Q1165944, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q214693","form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|variables in an economic model|application that uses a web browser as a client|business strategy for marketing and advertising|mechanisms, processes and relations by which corporations are controlled and operated|characterization of land based on what can be built on it and what the land can be used for|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|all living and non-living things occurring naturally on Earth or some region thereof|sociology concept","null,null,null,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,https://upload.wikimedia.org/wikipedia/commons/b/b0/Bob_Tricker_-_Corporate_Governance2.png,null,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,null","null,null,null,null,null,null,null,null,null"
