title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
"Wines of Winningen, Mosel Valley","The MOVING reference member state of this VC (Value Chain) is GERMANY VINIDEA. The reference MOVING Card ID of this VC is VC 01 DE. The planted vineyard area is around 89 ha and is cultivated by 44 wineries - so the structures are quite small. Like the Moselle in general, Winningen is known for white wine (about 90% of the vineyard area) and especially for Riesling. Unlike other sections of the growing region, many more dry wines are produced here. This is thanks to the village's most famous winegrower Heymann-Löwenstein, who has been producing mainly dry wines since the early 1980s and was thus one of the pioneers on the Moselle. In 2005, one of his wines was named best foreign wine in Paris. He also worked to ensure that the 'Uhlen' vineyard was the first one in Germany to receive three small appellations contrôlées within only one vineyard.","Moselle, Winningen, Riesling, Paris, Germany, Value chain, Appellation d'origine contrôlée","http://www.wikidata.org/entity/Q1667, http://www.wikidata.org/entity/Q822358, http://www.wikidata.org/entity/Q456471, http://www.wikidata.org/entity/Q90, http://www.wikidata.org/entity/Q183, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q1565828","river in Western Europe|municipality in western Germany|white grape in Rhine, Germany|capital and most populous city in France|country in Central Europe|functions of a company affecting its costs and quality and give it a competitive advantage|French protected geographic appellation","https://upload.wikimedia.org/wikipedia/commons/6/67/Schweicher_Annaberg.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/1_Winningen_an_der_Mosel.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Riesling_grapes_leaves.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/La_Tour_Eiffel_vue_de_la_Tour_Saint-Jacques%2C_Paris_ao%C3%BBt_2014_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Aerial_view_of_Berlin_%2832881394137%29.jpg,null,null","47.8894 6.8928,50.312777777778 7.5213888888889,null,48.85666666666667 2.352222222222222,51 10,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Rhenish Massif. The reference mountain landscape of this VC is Winningen. Winningen is located on the Lower Moselle only about 10 km from Koblenz, where the Moselle flows into the Rhine. Many years ago, terraces were built by hand in order to cultivate vines on the extremely steep slopes. The terroir is characterised by Devonian slate of various formations and is mainly known as the home of powerful Riesling wines, which in the 19th century were as expensive as the top crus from Bordeaux and Burgundy.","Rhenish Massif, Winningen, Lower Moselle, Koblenz, Moselle, Rhine, Devonian, Riesling, Bordeaux, Burgundy, Slate","http://www.wikidata.org/entity/Q313834, http://www.wikidata.org/entity/Q822358, http://www.wikidata.org/entity/Q1795588, http://www.wikidata.org/entity/Q3104, http://www.wikidata.org/entity/Q1667, http://www.wikidata.org/entity/Q584, http://www.wikidata.org/entity/Q65955, http://www.wikidata.org/entity/Q456471, http://www.wikidata.org/entity/Q1479, http://www.wikidata.org/entity/Q1173, http://www.wikidata.org/entity/Q207079","mountain range|municipality in western Germany|lower part of the Moselle river in Germany|German city on the banks of the Rhine and of the Moselle|river in Western Europe|river in Western Europe to the North Sea|fourth period of the Paleozoic Era|white grape in Rhine, Germany|city and commune in Gironde, New Aquitaine, France|former administrative region of France|fine-grained, foliated, homogeneous, low-grade metamorphic rock","https://upload.wikimedia.org/wikipedia/commons/f/f6/Frahan_JPG01.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/1_Winningen_an_der_Mosel.jpg,null,https://upload.wikimedia.org/wikipedia/commons/9/96/Koblenz_-_Panorama_von_Festung_Ehrenbreitstein.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Schweicher_Annaberg.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Loreleyblick_Maria_Ruh_2025.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Mollweide_Paleographic_Map_of_Earth%2C_390_Ma_%28Eifelian_Age%29.png,https://upload.wikimedia.org/wikipedia/commons/7/76/Riesling_grapes_leaves.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/138_-_Place_de_la_Bourse_et_le_miroir_d%27eau_-_Bordeaux.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Chateau_Tanlay_facade_cour_grand_chateau.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/SlateUSGOV.jpg","50.36555555555555 7.606277777777778,50.312777777778 7.5213888888889,null,50.359722222222 7.5977777777778,47.8894 6.8928,51.980833333333 4.0930555555556,null,null,44.837777777778 -0.57944444444444,47 4.5,null"
Geography and population,The size of the area (km2) is 6.65. The minimum altimetry of the LAU (Local Administrative Unit) is 75. The maximum altimetry of the LAU is 210. The total population (in thousand) is 2.421. The population density (Inhabitants/km2) in the LAU is 364. The population change rate of the LAU in the last 10 years (%) has been -1.80%. The overall regional population density (Inhabitants/km2) is 185.61. The regional population change rate in the last 10 years (%) has been 0.50%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 34600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 6043.8. The primary sector share of total GVA/year [Province] is 0.76%. The secondary sector share of total GVA/year [Province] is 36.27%. The tertiary sector share of total GVA/year [Province] is 62.96%. The per capita income (EUR/year) [Region] is 34600. The total Gross Value Added (GVA) (EUR million/year) [Region] is 45321.94. The primary sector share of total GVA/year [Region] is 0.88%. The secondary sector share of total GVA/year [Region] is 31.73%. The tertiary sector share of total GVA/year [Region] is 67.38%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 254. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 706. The nearest settlement with population over 100000 (km) is 10.2. In this region protected areas are present.,"Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 1.24%. The secondary sector share of total employment/year [Province] is 26.80%. The tertiary sector share of total employment/year [Province] is 71.95%. The primary sector share of total employment/year [Region] is 1.40%. The secondary sector share of total employment/year [Region] is 26.28%. The tertiary sector share of total employment/year [Region] is 72.33%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Wines from extremely steep, terraced vineyards (70% slope) with low yields and high quality. The vineyards are characterised by many small plots with their own microclimates and different slate formations (red, blue and grey slate) and are habitats for rare animals such as the Apollo butterfly. Due to climate change, the comparatively warm slopes are heating up. The careful work of the winegrowers enhances the reputation of the wines and ensures a clear and unique style. They are distinguished from the rest of the Moselle wines by their mix of opulence and delicacy.","Moselle, Wine, Vineyard, Slope, Crop yield, Microclimate, Slate, Apollo butterfly, Climate change, Viticulture","http://www.wikidata.org/entity/Q1667, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q275447, http://www.wikidata.org/entity/Q889514, http://www.wikidata.org/entity/Q215108, http://www.wikidata.org/entity/Q207079, http://www.wikidata.org/entity/Q41633, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q253140","river in Western Europe|alcoholic drink typically made from grapes through the fermentation process|plantation of grape-bearing vines|describes the steepness and directon of a line|total yield, or yield per unit area of land|local set of atmospheric conditions|fine-grained, foliated, homogeneous, low-grade metamorphic rock|species of butterfly|human-caused changes to climate on Earth|science, production and study of grapes","https://upload.wikimedia.org/wikipedia/commons/6/67/Schweicher_Annaberg.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Slope_picture.svg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Crop_yield_Guyana.JPG,null,https://upload.wikimedia.org/wikipedia/commons/a/af/SlateUSGOV.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Apollo_butterfly.JPG,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg","47.8894 6.8928,null,null,null,null,null,null,null,null,null"
Key local assets,"Winningen is located in a nature reserve. This winegrowing municipality has won several awards, making it one of the most beautiful villages in Germany. It is famous for the 'Moselfest', the oldest wine festival in Germany. ","Winningen, Germany, Nature reserve, Viticulture, Wine festival","http://www.wikidata.org/entity/Q822358, http://www.wikidata.org/entity/Q183, http://www.wikidata.org/entity/Q179049, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q462100","municipality in western Germany|country in Central Europe|protected area for flora, fauna or features of geological interest|science, production and study of grapes|null","https://upload.wikimedia.org/wikipedia/commons/f/f7/1_Winningen_an_der_Mosel.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Aerial_view_of_Berlin_%2832881394137%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/%D0%9A%D0%B0%D0%B2%D0%BA%D0%B0%D0%B7_%D0%91%D0%B8%D0%BE%D1%81%D1%84_%D0%97%D0%B0%D0%BF%D0%BE%D0%B2%D0%B5%D0%B4%D0%BD%D0%B8%D0%BA_12.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,null","50.312777777778 7.5213888888889,51 10,null,null,null"
Challenges,"The vineyards cannot be mechanised. For many wines produced there, apart from a few well-known wineries, no adequate prices are achieved in relation to the production effort. Organic viticulture is therefore not or hardly possible. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.","Vineyard, Wine, Winery, Organic viticulture, Viticulture, Venture capital, Traditionalism, Innovation","http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q156362, http://www.wikidata.org/entity/Q176393, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q354963, http://www.wikidata.org/entity/Q174165","plantation of grape-bearing vines|alcoholic drink typically made from grapes through the fermentation process|agricultural plants cultivating or producing of wine|wine made from grapes in the principles of organic farming|science, production and study of grapes|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|Wikimedia disambiguation page|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,null,null,null","null,null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is unspecified. For some years now, the municipality has been receiving more attention through the activities of the young generation of winemakers. In 2020, a young winemaker from Winningen was named Rising Star of the Year by Germany's most important wine guide. The innovation is related to New processes and New marketing strategies. The land use systems involved are Cropland and Vineyard area. The local assets include Natural and Cultural.","Winningen, Germany, Venture capital, Municipality, Wine, Cropland, Vineyard, Nature, Culture","http://www.wikidata.org/entity/Q822358, http://www.wikidata.org/entity/Q183, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q11042","municipality in western Germany|country in Central Europe|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|administrative division having corporate status and usually powers of self-government or jurisdiction|alcoholic drink typically made from grapes through the fermentation process|land used for agricultural purposes|plantation of grape-bearing vines|natural, physical, or material world and its phenomena|shared aspects of a society's way of life","https://upload.wikimedia.org/wikipedia/commons/f/f7/1_Winningen_an_der_Mosel.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Aerial_view_of_Berlin_%2832881394137%29.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","50.312777777778 7.5213888888889,51 10,null,null,null,null,null,null,null"
