"title","narrative","CountryName"
"Holzwelt Murau (transl.: World of wood Murau)","https://dlnarratives.eu/narrative/N114_VC_07_AT","Austria"
"Murauer Beer","https://dlnarratives.eu/narrative/N132_VC_08_AT","Austria"
"Murauer Heumilch (transl.: hay milk)","https://dlnarratives.eu/narrative/N151_VC_09_AT","Austria"
"Osttiroler Mountain Lamb ('Osttiroler Berglamm')","https://dlnarratives.eu/narrative/N168_VC_10_AT","Austria"
"Murbodner Potatoes ('Murbodner Erdäpfel')","https://dlnarratives.eu/narrative/N185_VC_11_AT","Austria"
"ALMO alp oxen","https://dlnarratives.eu/narrative/N1_VC_01_AT","Austria"
"Lungauer Eachtling","https://dlnarratives.eu/narrative/N204_VC_12_AT","Austria"
"Wines of Kitzek im Sausal, South Styria","https://dlnarratives.eu/narrative/N21_VC_21_AT","Austria"
"Mölltal-Glockner Lamm (engl. lamb)","https://dlnarratives.eu/narrative/N223_VC_13_AT","Austria"
"Murbodner Beef","https://dlnarratives.eu/narrative/N239_VC_14_AT","Austria"
"Almenland Stollenkäse (transl.: Almenland mining tunnel cheese)","https://dlnarratives.eu/narrative/N23_VC_02_AT","Austria"
"Sheep farmers from Weiz ('Weizer Schafbauern')","https://dlnarratives.eu/narrative/N257_VC_15_AT","Austria"
"Kärntna Låxn","https://dlnarratives.eu/narrative/N275_VC_16_AT","Austria"
"Ausseerland Seesaibling und Forelle (engl. artic char and trout from the Region Ausseerland)","https://dlnarratives.eu/narrative/N291_VC_17_AT","Austria"
"Murtaler pumpkin seed oil ('Kürbiskernöl')","https://dlnarratives.eu/narrative/N308_VC_18_AT","Austria"
"Bio vom Berg (translated: Organic products from mountain areas)","https://dlnarratives.eu/narrative/N326_VC_19_AT","Austria"
"Almenland Herbs","https://dlnarratives.eu/narrative/N41_VC_03_AT","Austria"
"Almenland Fish","https://dlnarratives.eu/narrative/N59_VC_04_AT","Austria"
"Styria Beef","https://dlnarratives.eu/narrative/N5_VC_20_AT","Austria"
"Almenland Honey","https://dlnarratives.eu/narrative/N77_VC_05_AT","Austria"
"Almenland Schnaps","https://dlnarratives.eu/narrative/N95_VC_06_AT","Austria"
"Stone fruits: peach and abricot","https://dlnarratives.eu/narrative/N102_VC_06_FR1","France"
"Picodon AOP","https://dlnarratives.eu/narrative/N120_VC_07_FR1","France"
"Fruits with pips","https://dlnarratives.eu/narrative/N139_VC_08_FR1","France"
"Agriturism - turistic and pedagogic welcome in farms","https://dlnarratives.eu/narrative/N158_VC_09_FR1","France"
"Organic still wine production","https://dlnarratives.eu/narrative/N174_VC_10_FR1","France"
"Garlic production","https://dlnarratives.eu/narrative/N192_VC_11_FR1","France"
"Poultry farming, integration by the cooperative","https://dlnarratives.eu/narrative/N211_VC_12_FR1","France"
"Extensive and pastoral livestock farming","https://dlnarratives.eu/narrative/N29_VC_02_FR1","France"
"Market gardening, diversified with organic value chain and local channels distribution","https://dlnarratives.eu/narrative/N47_VC_03_FR1","France"
"Clairette de Die - Wine production targeted towards export","https://dlnarratives.eu/narrative/N65_VC_04_FR1","France"
"Organic, aromatic and medicinal plants","https://dlnarratives.eu/narrative/N84_VC_05_FR1","France"
"Diversification strategies of conventional agriculture in large irrigated field crops","https://dlnarratives.eu/narrative/N9_VC_01_FR1","France"
"Dairy industry","https://dlnarratives.eu/narrative/N103_VC_46_IT","Italy"
"organic eggs","https://dlnarratives.eu/narrative/N105_VC_47_IT","Italy"
"With a open-air grazing in a regional natural park, it is produced and processed high-quality milk","https://dlnarratives.eu/narrative/N107_VC_48_IT","Italy"
"Alto Trentino, organic wine production for premium wines","https://dlnarratives.eu/narrative/N40_VC_23_IT","Italy"
"The farm sustainably produces apple and derived alcoholic beverages (cider)","https://dlnarratives.eu/narrative/N57_VC_27_IT","Italy"
"Grapevine on terraces- Valtellina","https://dlnarratives.eu/narrative/N77_VC_34_IT","Italy"
"apples and derivatives and other agricoltural products","https://dlnarratives.eu/narrative/N87_VC_39_IT","Italy"
"PEFC certified wood from collective forests management","https://dlnarratives.eu/narrative/N89_VC_40_IT","Italy"
"A cooperative dairy of local farmers enhancing local traditional cheese production","https://dlnarratives.eu/narrative/N96_VC_43_IT","Italy"
"Processed pork meat","https://dlnarratives.eu/narrative/N98_VC_44_IT","Italy"
"Merlot from Alps - Ticino","https://dlnarratives.eu/narrative/N118_VC_CH_01","Switzerland"
"Traditional alpine dairy products","https://dlnarratives.eu/narrative/N3_VC_01_CH1","Switzerland"
