title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Vipava valley orange wines,"The MOVING reference member state of this VC (Value Chain) is SLOVENIA VINIDEA. The reference MOVING Card ID of this VC is VC 01 SL. Several farmers of the valley produce organic and biodynamic grapes from autochthonous varieties and process them into several wine types (certified organic/biodynamic) but a specific wine type they produce is orange wine (white grape must macerated on skins). This wine type got high attention on international markets and became a driver of local viticulture on high quality wines markets. The production is based on a group of independent wine-makers, owning small scale farms.","Slovenia, Value chain, Organic farming, Biodynamic farming, Grape, Wine, Orange wine, Viticulture, Farmer","http://www.wikidata.org/entity/Q215, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q847611, http://www.wikidata.org/entity/Q10978, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q30587928, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q131512","country in Central Europe|functions of a company affecting its costs and quality and give it a competitive advantage|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|method of organic farming based on esoteric concepts of Rudolf Steiner|edible berry of a flowering plant in the family Vitaceae|alcoholic drink typically made from grapes through the fermentation process|wine made from white wine grapes with extended skin contact, resulting in an orange colour|science, production and study of grapes|person engaged in agriculture, raising living organisms for food or raw materials","https://upload.wikimedia.org/wikipedia/commons/c/c0/SLO_%E2%80%94_Ljubljana_%28Blick_auf_Burg%29_2020.JPG,null,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/48/Pr%C3%A9paration_bouse_de_corne_en_agriculture_biodynamique.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Wine_grapes03.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Glass_quevri_rkatsiteli.JPG,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/04-09-12-Schaupfl%C3%BCgen-Fahrenwalde-RalfR-IMG_1232.jpg","46 15,null,null,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Karst Plateau. The reference mountain landscape of this VC is Ajdovščina. the Karst plateau and the related valleys are located in proximity of highly populated areas but preserved a special level of wilderness. Forests are highly present, agriculture still plays a relevant role (also thanks to many part-time farmers or hobby farmers), high mountains (Triglav) are nearby. Besides, Slovenian population is very keen to sport ad outdoor activities (trekking, kayaking,biking) and as a consequence these are not only assets for tourism but also for residents quality of life.","Ajdovščina, Triglav, Slovenia, Karst Plateau, Trekking, Kayaking, Bicycle","http://www.wikidata.org/entity/Q15854, http://www.wikidata.org/entity/Q1024, http://www.wikidata.org/entity/Q215, http://www.wikidata.org/entity/Q625139, http://www.wikidata.org/entity/Q12014173, http://www.wikidata.org/entity/Q2094083, http://www.wikidata.org/entity/Q11442","city in Slovenia|highest mountain in Slovenia|country in Central Europe|limestone plateau region in south of Europe|outdoor recreation of carrying gear on one's back, while hiking for more than a day. It is often but not always an extended journey, and may or may not involve camping outdoors|act of using a kayak|pedal-driven two-wheel vehicle","https://upload.wikimedia.org/wikipedia/commons/9/91/Ajdovscina.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Triglav.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c0/SLO_%E2%80%94_Ljubljana_%28Blick_auf_Burg%29_2020.JPG,https://upload.wikimedia.org/wikipedia/commons/2/24/Karst_italy_limestone.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Lassen_backpackers.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Tongariro_Kayak_Expedition.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/00_8327_Historisches_Fahrrad.jpg","45.888356136 13.905237912,46.378333 13.836667,46 15,45.66667 13.9,null,null,null"
Geography and population,The size of the area (km2) is 245. The minimum altimetry of the LAU (Local Administrative Unit) is 100. The maximum altimetry of the LAU is 1100. The total population (in thousand) is 19.2. The population density (Inhabitants/km2) in the LAU is 79. The population change rate of the LAU in the last 10 years (%) has been -3.60%. The overall regional population density (Inhabitants/km2) is 50.7. The regional population change rate in the last 10 years (%) has been -0.40%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 1668.23. The total Gross Value Added (GVA) (EUR million/year) [Province] is 47402.11. The primary sector share of total GVA/year [Province] is 2.00%. The secondary sector share of total GVA/year [Province] is 41.30%. The tertiary sector share of total GVA/year [Province] is 55.80%. The per capita income (EUR/year) [Region] is 12462. The total Gross Value Added (GVA) (EUR million/year) [Region] is 47402.11. The primary sector share of total GVA/year [Region] is 2.00%. The secondary sector share of total GVA/year [Region] is 41.30%. The tertiary sector share of total GVA/year [Region] is 55.80%.,"Deutsche Mark, Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q16068, http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","official currency of West Germany and later Germany from 1948 to 2002|average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","https://upload.wikimedia.org/wikipedia/commons/b/b8/1_mark_brd_1967_retouched.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is unspecified. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is 69902. The nearest settlement with population over 100000 (km) is 60. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 1.60%. The secondary sector share of total employment/year [Province] is 56.50%. The tertiary sector share of total employment/year [Province] is 42.00%. The primary sector share of total employment/year [Region] is 1.60%. The secondary sector share of total employment/year [Region] is 56.50%. The tertiary sector share of total employment/year [Region] is 42.00%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg","null,null,null,null"
Interest on this VC,"1. Karst is a peculiar mountain landscape; 2. the orange wines value chain developed spontaneously as a retro-innovation; 3. the international acknowledgment of orange wines pushed for a fast development of organic and biodynamic viticulture in the area (part of the innovation). 1) peculiarity of the Karst area; 2) grass-root development, largely unguided, development of the successful value chain; 3) climate change high risk.","KARST, Slovak Karst, Karst, Orange wine, Viticulture, Organic farming, Biodynamic farming, Climate change","http://www.wikidata.org/entity/Q6325275, http://www.wikidata.org/entity/Q576413, http://www.wikidata.org/entity/Q16817, http://www.wikidata.org/entity/Q30587928, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q847611, http://www.wikidata.org/entity/Q125928","Chinese Radio Telescope|mountain range|topography formed from the dissolution of soluble rocks|wine made from white wine grapes with extended skin contact, resulting in an orange colour|science, production and study of grapes|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|method of organic farming based on esoteric concepts of Rudolf Steiner|human-caused changes to climate on Earth","null,https://upload.wikimedia.org/wikipedia/commons/b/b8/Zadielska_tiesnava.jpg,null,https://upload.wikimedia.org/wikipedia/commons/0/05/Glass_quevri_rkatsiteli.JPG,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/48/Pr%C3%A9paration_bouse_de_corne_en_agriculture_biodynamique.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg","null,48.55 20.533333333333335,null,null,null,null,null,null"
Key local assets,"1. environmental: organic viticulture can well fit with the high quality landscape and contribute to its maintenance. 2. Cultural: orange wines, autochthonous varieties and organic viticulture are partly retro-innovation, based on local culture and skills. ","Environment, Organic viticulture, Culture, Orange wine","http://www.wikidata.org/entity/Q1572519, http://www.wikidata.org/entity/Q176393, http://www.wikidata.org/entity/Q11042, http://www.wikidata.org/entity/Q30587928","Wikimedia disambiguation page|wine made from grapes in the principles of organic farming|shared aspects of a society's way of life|wine made from white wine grapes with extended skin contact, resulting in an orange colour","null,null,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Glass_quevri_rkatsiteli.JPG","null,null,null,null"
Challenges,1) competition of other economic sectors; 2) economic sustainability in the long run; 3) climate change will probably affect the area and compel changes in the agricultural practices . Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.,"Competition, Economic sector, Climate change, Agricultural practices, Venture capital","http://www.wikidata.org/entity/Q476300, http://www.wikidata.org/entity/Q3958441, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q219409","rivalry where multiple parties strive for a goal which cannot be shared|conceptual grouping of economic activities|human-caused changes to climate on Earth|cultivation of plants and animals to provide useful products|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth","https://upload.wikimedia.org/wikipedia/commons/2/2f/Formula_one.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Clark%27s_sector_model.svg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/7/76/Unload_wheat_by_the_combine_Claas_Lexion_584.jpg,null","null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Viticulture is traditional in the area but under the Socialist period I was not allowed to private farmers to process the grape into wine individually. Wine-making could develop in the 90s but since the start local small scale winegrowers looked for more natural methods. Organic and Biodynamics viticulture and the use of autochthonous grape varieties started to gain more and more space and interest among private cellars. At the same time a retroinnovation process started, with the technically reviewed practice of white grapes must maceration on skins, in order to obtain oxidized wines, named orange wines, due to their color. The innovation is related to New products and New processes. The land use systems involved are Cropland and grape for wine production. The local assets include Natural and cultural.","Value chain, Viticulture, Socialism, Organic farming, Biodynamic farming, Grape, Wine, Orange wine, Cropland, Nature, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q7272, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q847611, http://www.wikidata.org/entity/Q10978, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q30587928, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|science, production and study of grapes|socio-economic system based on social ownership of the means of production; also the ideology that aims to implement it|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|method of organic farming based on esoteric concepts of Rudolf Steiner|edible berry of a flowering plant in the family Vitaceae|alcoholic drink typically made from grapes through the fermentation process|wine made from white wine grapes with extended skin contact, resulting in an orange colour|land used for agricultural purposes|natural, physical, or material world and its phenomena|shared aspects of a society's way of life","null,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/4/48/Pr%C3%A9paration_bouse_de_corne_en_agriculture_biodynamique.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Wine_grapes03.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Glass_quevri_rkatsiteli.JPG,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null,null,null,null,null,null"
