title,description
"Production of Graviera cheese (Gruyere) in the area Amari, on the western slopes of Psiloritis mountain","The MOVING reference member state of this VC (Value Chain) is GREECE. The reference MOVING Card ID of this VC is VC 01 GR. The production of graviera affects the graziers of the wider Kalogeros area and their families. The perspectives of the product bring together breeders, cultural associations, local authorities and the total number of local stakeholders involved in the production chain. Also, it affects the local catering, hosting and agro-tourism activities. The importance of the VC for the area has been recognized by the municipal and regional authorities, who are very proactive to support extroversion actiοns. Both the outstanding scenery and the wonderful climate are embedded in the cultures of all the civilizations that lived there. Shepherds houses, called 'mitata' are landmarks of Psiloritis Mountains, made by local, platy, dry-stone material. Totally weatherproof and fully adapted to the landscape, they are still used for cheese production. Psiloritis UNESCO Global Geopark provides excellent opportunities for both recreation and education."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Psiloritis Mountain. The reference mountain landscape of this VC is Kalogerou Amari. Psiloritis (Ida) mountain is the highest mountain in Crete and among the highest in Greece, characterized as a Unesco Global Geopark. The typical maquis vegetation of Psiloritis includes prinos, while scattered are piles of rough pine, cypresses and maples that form clusters up to a height of 1,800 meters. At higher altitudes, the vegetation consists of bushes mainly of thorny plants, such as heather. Around Kalogeros area the shrubby vegetation is prevalent. The Amari valley is bordered by Psiloreitis and Samitos and has remained largely untouched by modern development. It is full of picturesque villages, old Byzantine churches, Hellenistic and Roman settlements."
Geography and population,The size of the area (km2) is 278.8. The minimum altimetry of the LAU (Local Administrative Unit) is 294. The maximum altimetry of the LAU is 2322. The total population (in thousand) is 87.691. The population density (Inhabitants/km2) in the LAU is 58.80. The population change rate of the LAU in the last 10 years (%) has been 0.02%. The overall regional population density (Inhabitants/km2) is 76.5. The regional population change rate in the last 10 years (%) has been 0.01%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 13800. The total Gross Value Added (GVA) (EUR million/year) [Province] is 1046.08. The primary sector share of total GVA/year [Province] is 6.52%. The secondary sector share of total GVA/year [Province] is 9.33%. The tertiary sector share of total GVA/year [Province] is 84.16%. The per capita income (EUR/year) [Region] is 14300. The total Gross Value Added (GVA) (EUR million/year) [Region] is 7862.21. The primary sector share of total GVA/year [Region] is 6.91%. The secondary sector share of total GVA/year [Region] is 11.24%. The tertiary sector share of total GVA/year [Region] is 81.85%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 122. The regional (Region) share of total BPs/year is 0.004%. The number of agricultural holdings in the LAU is 13024. The nearest settlement with population over 100000 (km) is 90. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 17.38%. The secondary sector share of total employment/year [Province] is 11.83%. The tertiary sector share of total employment/year [Province] is 70.79%. The primary sector share of total employment/year [Region] is 16.20%. The secondary sector share of total employment/year [Region] is 11.84%. The tertiary sector share of total employment/year [Region] is 71.97%.
Interest on this VC,"Graviera is a PDO cheese of Crete, famous among Greek cheeses. In the Amari area, at the western slopes of Psiloritis Mountain, free-range sheep and goat breeding is the predominant activity. The native flora of the area contributes to the aromatic and rich in fat milk, mainly used for traditional dairy products in family level. Recently a new business endeavour by a famous local cheesemaker in the village of Kalogerou-Amari has been undertaken, aiming to revive the cheesemaking as a small industry and re-introduce the well established cheese in gastronomy. Graviera of Amari is a product of high quality, great reputation and territorial identity in the area of Kalogerou / Amari. The activity has offered a new perspective for the area. The new types of graviera can give a boost in the consumption of the specific label, making the products more attractive, gaining new target groups of consumers. All these innovative products require innovative making cheese processes due to co-existing different materials, mainly in the stage of riping. The innovative use of whey in the feed of animals needs extra knowledge of breeders giving the possibility to reduce the cost of the feeding, improving the quality of the raw materials (milk and meat) and reducing the environmental foot-printing in a environmentaly sensitive area."
Key local assets,"The breeding of sheep and goats in the mountainous areas and the utilization of the mountain pastures is a traditional activity that is closely connected with the locals, theri families and theris social activities. The cheesemaking has been a traditionan, family business, carried out on special stone constructions, the mitata (constructions dating from the Minoan Civilization in 1600 BC), making it a social model and a way of life. The picturesque and under developed valley of Amari, along with the traditional way of life, draws the attention of many visitors throughout the year. In the wider area of Amari many cultural events take place: concerts, theatrical performances, traditional dancing events, exhibitions, local gastronomy, ethics, excursions, workshops, education, art, culture and much more, a unique opportunity to get acquainted with the authentic traditions of Crete. The local authorities as well as the Region of Crete have been trying hard to support sustainable development in Amari with an emphasis on the preservation of the natural environment and cultural heritage. "
Challenges,"In the green fertile valley of Amari, surrounded by the mountains of Kedros, Samitos and Psiloritis the village of Kalogerou is the place where the cheesemaking endeavour of the area is located. The area is of special natural beauty, scattered with many small, picturesque villages that retain their traditional colour. Sheep / goat breeding keeps the traditional way in livestock in the mountainous pastures of Amari.The main product of the activity is milk, which faces problems in disposal and has become economically unprofitable for the producers, who are heavily dependent on European subsidies to survive. Animal infections and climate change increase the uncertainty and vulnerability of the pastoral activities. Their hard life and the economic uncertainty is deterrent for the young people of the area, which leads to a quick decline of the local population. Although graviera, an established, high priced cheese could become a solution for the disposal of the local milk, the strong competition form local, national and international products makes the endeavour challenging. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative."
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. In recent years, at the request of the consumers and gastronomers, there is a trend for enriched types of graviera, mixed with aromatic plants and spices. The cheesemaking of Amari tries to gain an advantage in a demanding market by introducing such new types of graviera, along with the traditional one. The activity is trying to increase its presence and reputation through the social media. Another innovation is the use of whey in the feed of animals, which has been introduces lately as an initiative of the Region of Crete, with promising results. The innovation is related to New products, New processes and New marketing strategies. The land use systems involved are Natural land. The local assets include Natural, social and cultural."
