title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Kärntna Låxn,"The MOVING reference member state of this VC (Value Chain) is AUSTRIA. The reference MOVING Card ID of this VC is VC 16 AT. The fish is sold directly, via the gastronomy and mainly by an association named 'ARGE Oberkärntner Fisch'. This association is a cooperation of the 4 fish farmers (who produce 'Kärntna Låxn'), some fish breeders and innkeepers, the regional fishing association and the LAG Nockregion-Oberkärnten. The fish is the lead product of the like-named 'Genussregion' and in these regard a representative quality product of the region. Positive impacts on the SES regards the re-stabilization of wild populations of the lake trout, since fish, which is sold, comes from fish farms with natural ponds.","Austria, Socio-economic status, Lake trout","http://www.wikidata.org/entity/Q40, http://www.wikidata.org/entity/Q1515895, http://www.wikidata.org/entity/Q469946",country in Central Europe|economic and social measure of a person's affluence and/or influence|species of fish,"https://upload.wikimedia.org/wikipedia/commons/9/9e/Oesterreichisches_Woerterbuch_43._Auflage_Deckel.jpg,null,https://upload.wikimedia.org/wikipedia/commons/b/ba/Lake_trout_fishes_salvelinus_namaycush.jpg","48 14,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is RR 11, Austrian Alps. The reference mountain landscape of this VC is Spittal an der Drau (No: 206). Carinthia is the southernmost federal state of Austria. The fish is produced in the mainly mountainous region Upper Carinthia (NUTS3: AT212). Since Carinthia is located south of the Alps, the climate is almost Mediterranean in summer. It is characterized by relatively constant weather conditions with high solar radiation, which alternates with thunderstorms and intense precipitation. While summers are hot and moderately humid, winters are long and harsh. Autumn and winter often feature temperature inversions with calm winds, dense fog over the frosty valleys, and mild, sunny weather higher up in the foothills and mountains. The fish is produced at an altitude between 751 and 843 meters above sea level in 15 natural ponds supplied with spring and stream water. The water temperature of the ponds varies between 8 degrees Celsius and 15 degrees Celsius. The natural ponds are supplied with sufficient fresh water, so no enrichment with oxygen is necessary. The average pond area is about 1 hectare.","Spittal an der Drau, Carinthia, Austria, Alps, Mediterranean Sea, Celsius","http://www.wikidata.org/entity/Q487500, http://www.wikidata.org/entity/Q37985, http://www.wikidata.org/entity/Q40, http://www.wikidata.org/entity/Q1286, http://www.wikidata.org/entity/Q4918, http://www.wikidata.org/entity/Q25267","town in Spittal an der Drau District, Carinthia, Austria|federal state in the South of Austria|country in Central Europe|major mountain range system in central Europe|sea between Europe, Africa and Asia|SI unit of Celsius temperature","https://upload.wikimedia.org/wikipedia/commons/8/83/1024_Goldeck-3105.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Heiligenblut_am_Gro%C3%9Fglockner_%281%29.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9e/Oesterreichisches_Woerterbuch_43._Auflage_Deckel.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Alps_2007-03-13_10.10UTC_1px-250m.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d8/Mediterranean_Sea_political_map-en.svg,null","46.791666666667 13.495833333333,46.7525 13.8617,48 14,46.57805555555556 8.615,38 17,null"
Geography and population,The size of the area (km2) is 2765. The minimum altimetry of the LAU (Local Administrative Unit) is 512. The maximum altimetry of the LAU is 2143. The total population (in thousand) is 75.868. The population density (Inhabitants/km2) in the LAU is 27.44. The population change rate of the LAU in the last 10 years (%) has been -3.39%. The overall regional population density (Inhabitants/km2) is 58.86. The regional population change rate in the last 10 years (%) has been 0.82%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 19933.3. The total Gross Value Added (GVA) (EUR million/year) [Province] is 3181. The primary sector share of total GVA/year [Province] is 3.33%. The secondary sector share of total GVA/year [Province] is 28.92%. The tertiary sector share of total GVA/year [Province] is 67.75%. The per capita income (EUR/year) [Region] is 21135. The total Gross Value Added (GVA) (EUR million/year) [Region] is 18731. The primary sector share of total GVA/year [Region] is 1.72%. The secondary sector share of total GVA/year [Region] is 34.03%. The tertiary sector share of total GVA/year [Region] is 64.25%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 42315. The regional (Region) share of total BPs/year is 30.79%. The number of agricultural holdings in the LAU is 2228. The nearest settlement with population over 100000 (km) is 75. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 8.85%. The secondary sector share of total employment/year [Province] is 23.94%. The tertiary sector share of total employment/year [Province] is 67.20%. The primary sector share of total employment/year [Region] is 5.56%. The secondary sector share of total employment/year [Region] is 22.81%. The tertiary sector share of total employment/year [Region] is 71.62%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"The 'Kärntna Låxn' (= lake trout from Carithia) is a quality fresh fish product from Upper Carinthia. From there already in the 14th century this fish was delivered to the imperial court in Vienna. A few years ago, 4 fish farms managed to breed again a fish species that was firmly rooted in former times and to anchor it as a fixed point both among consumers and gastronomy. Since 2008 this VC is embedded in a Genussregion ( region of local food specialities; quality standards set by the AgrarMarkt Austria), which means that the fish is a regional high quality product. The 'ARGE Oberkärntner Fisch' (see key actors) has been an important cooperation for the stabilization of the sustainable fish farming: stable fish population and new marketing. Also the 'Genussregion ( region of culinary delight : promoting local food specialities; quality standards set by the AgrarMarkt Austria) has been a key factor of success.","Carinthia, Vienna, Lake trout, Aquaculture, Venture capital, Slow Food, Cooperative","http://www.wikidata.org/entity/Q37985, http://www.wikidata.org/entity/Q1741, http://www.wikidata.org/entity/Q469946, http://www.wikidata.org/entity/Q188989, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q335823, http://www.wikidata.org/entity/Q4539","federal state in the South of Austria|capital of and state in Austria|species of fish|farming things in water, primarily intended as a food source|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|organization|autonomous association of persons or organizations","https://upload.wikimedia.org/wikipedia/commons/b/b7/Heiligenblut_am_Gro%C3%9Fglockner_%281%29.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1f/Wien_katedra_sw_Szczepana_widok_z_wiezy_6.jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Lake_trout_fishes_salvelinus_namaycush.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Delta_Pride_Catfish_farm_harvest.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg","46.7525 13.8617,48.208333333333336 16.3725,null,null,null,null,null"
Key local assets,The production of 'Kärntna Låxn' has been a tradition for more than 500 centuries. The name of this fish has been an important marketing asset since ever. The 'crystal clear' water from one of the high mountain regions in Austria is also part of the marketing communication. The 'ARGE Oberkärntner Fisch' is important for the fish breeding and marketing. ,"Austria, Grayling","http://www.wikidata.org/entity/Q40, http://www.wikidata.org/entity/Q402993",country in Central Europe|Wikimedia disambiguation page,"https://upload.wikimedia.org/wikipedia/commons/9/9e/Oesterreichisches_Woerterbuch_43._Auflage_Deckel.jpg,null","48 14,null"
Challenges,"Due to overfishing mainly in Lake Millstatt in the 1970s the fish population decreased dramatically. The marketing as a high quality product is a niche that allows a) a better income for the producers and b) to cultivate the fish sustainably. The trout is known to be vulnerable to climate change. Lake Millstatt is a deep lake which is not that affected although in average the temperature increased by more than 2 K. Since the fish is mainly produced in 'monocultures' in natural ponds that are not so deep, the production might be more affected than wild populations of these fish in the big lakes and rivers. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.","Millstatt, Lake Millstatt, Overfishing, Trout, Climate change, Vulnerability assessment","http://www.wikidata.org/entity/Q668044, http://www.wikidata.org/entity/Q220241, http://www.wikidata.org/entity/Q331828, http://www.wikidata.org/entity/Q2258881, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q1400839","municipality in Spittal an der Drau District, Carinthia, Austria|lake in Carinthia, Austria|the act whereby fish stocks are depleted to unacceptable levels, regardless of water body size|number of species of freshwater fish|human-caused changes to climate on Earth|process of identifying, quantifying, and prioritizing the vulnerabilities in a system","https://upload.wikimedia.org/wikipedia/commons/2/2c/Millstatt_Ost_Steinschicht_2006.JPG,https://upload.wikimedia.org/wikipedia/commons/c/ce/Millst%C3%A4tter_See_Ost_01_2013.JPG,https://upload.wikimedia.org/wikipedia/commons/6/6d/Shad_fishing.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Bachforelle_Zeichnung.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,null","46.804166666667 13.580555555556,46.795 13.579722222222,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. The marketing under the name of 'Kärntna Låxn' has a long history. After the problems of overfishing in the 1970s there have been made great efforts to rebuild the natural fish stock and the lake trout population by breeding in near-natural ponds since the late 1990s. In 2001, four fish farms around lake Millstatt and neighbouring lakes began to breed the fish species (lake trout), which was the dominant species in earlier times, and to offer it again to consumers and in the gastronomy. The innovation is related to New products and New marketing strategies. The land use systems involved are Lakes, natural ponds. The local assets include Natural, social and cultural.","Millstatt, Venture capital, Endogenous growth theory, Marketing, Overfishing, Fish stock, Lake trout, Fish farm, New product development, Marketing strategy, Lake, Pond, Nature, Social, Culture","http://www.wikidata.org/entity/Q668044, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q576355, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q331828, http://www.wikidata.org/entity/Q16782389, http://www.wikidata.org/entity/Q469946, http://www.wikidata.org/entity/Q209894, http://www.wikidata.org/entity/Q1395034, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q23397, http://www.wikidata.org/entity/Q12719646, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q8425, http://www.wikidata.org/entity/Q11042","municipality in Spittal an der Drau District, Carinthia, Austria|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|theory that economic growth is mainly due to endogenous (not external) forces|study and process of promoting, distributing, and selling products or services to customers|the act whereby fish stocks are depleted to unacceptable levels, regardless of water body size|Wikimedia disambiguation page|species of fish|raising fish commercially in tanks or enclosures such as fish ponds, usually for food|complete process of bringing a new product to market|business strategy for marketing and advertising|body of relatively still water, localized in a basin|natural or artificially created body of water in which there is no or little flow velocity|natural, physical, or material world and its phenomena|group of people connected to each other|shared aspects of a society's way of life","https://upload.wikimedia.org/wikipedia/commons/2/2c/Millstatt_Ost_Steinschicht_2006.JPG,null,null,null,https://upload.wikimedia.org/wikipedia/commons/6/6d/Shad_fishing.jpg,null,https://upload.wikimedia.org/wikipedia/commons/b/ba/Lake_trout_fishes_salvelinus_namaycush.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Loch_Ainort_fish_farm_-_geograph.org.uk_-_1800327.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/TypesOfNewProducts.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,https://upload.wikimedia.org/wikipedia/commons/a/ab/Gentau_Pic_du_Midi_Ossau.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Faches_etang_des_periseaux.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BA_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","46.804166666667 13.580555555556,null,null,null,null,null,null,null,null,null,null,null,null,null,null"
