title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
"Poultry farming, integration by the cooperative","The MOVING reference member state of this VC (Value Chain) is FRANCE CCVD. The reference MOVING Card ID of this VC is VC 12 FR1. The poultry farming VC is developping in the Drome Valley. This production was favoured for farmers who do not have access to water. This production (hen egg and meat) is mainly organic and respond to local and national demand. It is either produced by diversified or specialized exploitations. The positive impact of this VC is the adaption to climate condition and poor access to water in the region. It also answer a local and national demand. In terms of environnement, poultry farming in diversified exploitation is a great complement of green manure. At the Biovallee scale, the VC is structured by the cooperative Val Soleil with 185 adherents in the poultry VC. The cooperative model allows farmers to have a security: guaranted incomes; shared material; adapted marketing strategies. The cooperative is managed by farmers with a democratic principle 'one person, one vote'. Eggs filiere counts 120 000 free range hens, 40 000 green label hens and 125 000 organic hens. Eggs are saled under two brands 'oeuf de nos villages' and 'cocorette'. Regarding chicken meat, chicken are raised and slaughtered locally and feed with local food production (139 farms, 2 slaughtered houses). 7 quality labels exist such as red label, organic, 100% vegetal..","Drôme, France, Poultry farming, Organic farming, Climate, Green manure, Cooperative, Egg, Chicken, Chicken meat, Vegetable","http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q861182, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q7937, http://www.wikidata.org/entity/Q954381, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q17147, http://www.wikidata.org/entity/Q780, http://www.wikidata.org/entity/Q864693, http://www.wikidata.org/entity/Q11004","French department|country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)|part of animal husbandry|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|long-term statistical characterization of atmospheric conditions in a region, typically averaged over periods of 30 years or more|crop specifically produced to be incorporated into the soil while still green|autonomous association of persons or organizations|organic vessel in which an embryo first begins to develop|domesticated bird kept by humans primarily as a food source|type of widely consumed poultry|edible plant or part of a plant, involved in cooking","https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Paris_from_the_Arc_de_Triomphe%2C_17_October_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Battery_hens_-Bastos%2C_Sao_Paulo%2C_Brazil-31March2007.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/3/32/K%C3%B6ppen-Geiger_Climate_Classification_Map_%281980%E2%80%932016%29_no_borders.png,https://upload.wikimedia.org/wikipedia/commons/5/59/Wicken_als_Gr%C3%BCnd%C3%BCngung..JPG,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chicken_eggs.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Kruppert_Cubalaya_cropped.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9f/Ayam_kampung_free_range_chicken_meat_Indonesia.JPG,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kleinmarkthalle_Frankfurt_Gem%C3%BCsestand.jpg","44.75 5.1666666666667,47 2,null,null,null,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Drome Valley. The reference mountain landscape of this VC is Drome departement. Drôme is a very diversified departement in terms of geological, natural and agricultural resources. The North-East of the territory is characterised by middle and high mountains (Pre Alps and Vercors Natural Park): agriculture is this area is mainly livestock and small diversified gardening. The South is characterized by the beginning of the Provence and the mediterranean climate, we can find there aromatic and yard large cultures. The West of the territory is characterized by plains were the Rhône and the Drôme rivers meet. Agriculture ther is mainly large cropland. Within the Drôme departement, Biovallée territority gathers 3 associations of municipalities (EPCI) - 95 muncipalities in total. It is a very preserved and diversified territory, following the Drôme River, from Pre Alps to large plains of the downvalley.","Drôme, Provence, Rhône, Drôme (river), Prealps, Vercors Regional Natural Park, Mediterranean climate","http://www.wikidata.org/entity/Q3364, http://www.wikidata.org/entity/Q101081, http://www.wikidata.org/entity/Q602, http://www.wikidata.org/entity/Q743296, http://www.wikidata.org/entity/Q64848883, http://www.wikidata.org/entity/Q3364644, http://www.wikidata.org/entity/Q13996",French department|region and historical province of southeastern France|river in Switzerland and France|river in France|foothills at the base of the Alps in Europe as a transition zone|French regional natural park|type of climate characterised by mild to cold wet winters and mild to hot dry summers,"https://upload.wikimedia.org/wikipedia/commons/9/94/Montagne_de_Glandasse.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/Lavender_field_and_Mont_Ventoux.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Saint-benezet_in_southeastern_France.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/Dr%C3%B4me.jpg,null,https://upload.wikimedia.org/wikipedia/commons/0/02/Petit_Veymont.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/KoppenclassificationworldmapCs.png","44.75 5.1666666666667,44 6,46.5742 8.3804,44.5139 5.6381,null,44.9242 5.43385,null"
Geography and population,The size of the area (km2) is 2200. The minimum altimetry of the LAU (Local Administrative Unit) is 50. The maximum altimetry of the LAU is 2453. The total population (in thousand) is 58.56. The population density (Inhabitants/km2) in the LAU is 42.3. The population change rate of the LAU in the last 10 years (%) has been 1%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) has been 0.6%.,"Lau Islands, Area, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q11500, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|measure of the extent of a two-dimensional region on a curved surface or flat plane|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 21100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 14532.49. The primary sector share of total GVA/year [Province] is 1.70%. The secondary sector share of total GVA/year [Province] is 20.30%. The tertiary sector share of total GVA/year [Province] is 77.80%. The per capita income (EUR/year) [Region] is 32799. The total Gross Value Added (GVA) (EUR million/year) [Region] is 242040. The primary sector share of total GVA/year [Region] is 1.00%. The secondary sector share of total GVA/year [Region] is 24.70%. The tertiary sector share of total GVA/year [Region] is 74.30%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 56167. The regional (Region) share of total BPs/year is 37%. The number of agricultural holdings in the LAU is 6400. The nearest settlement with population over 100000 (km) is 115. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 2.20%. The secondary sector share of total employment/year [Province] is 24.60%. The tertiary sector share of total employment/year [Province] is 71.50%. The primary sector share of total employment/year [Region] is 2.10%. The secondary sector share of total employment/year [Region] is 21.80%. The tertiary sector share of total employment/year [Region] is 76.10%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"The poultry farming in small structures was developped by farmers with no acces to water who adapted to water access condition and to answer strong consumer demand for local aviculture products (egg and meat). New processes: shared cultural technics and tools; adaptation of the production; valorization of meat of laying hens New marketing strategies: developpement of poultry farming to answer a local and national demande New governance systems: cooperative model gather farmers to market their production at local scale, guarantee steady incomes and shared means of production.","Poultry farming, Farmer, Water, Consumer, Egg, Meat, Marketing, Governance, Cooperative, Production","http://www.wikidata.org/entity/Q861182, http://www.wikidata.org/entity/Q131512, http://www.wikidata.org/entity/Q283, http://www.wikidata.org/entity/Q22855, http://www.wikidata.org/entity/Q17147, http://www.wikidata.org/entity/Q10990, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q1553864, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q663143","part of animal husbandry|person engaged in agriculture, raising living organisms for food or raw materials|chemical compound whose molecules are formed by two hydrogen atoms and one oxygen atom|person or group of people that are the final users of products and or services; one who pays something to consume goods and services produced|organic vessel in which an embryo first begins to develop|culinary name for animal flesh eaten as food|study and process of promoting, distributing, and selling products or services to customers|all of the processes of governing, whether undertaken by a government, market or network, whether over a family, tribe, formal or informal organization or territory and whether through the laws, norms, power or language of an organized society|autonomous association of persons or organizations|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/d/dd/Battery_hens_-Bastos%2C_Sao_Paulo%2C_Brazil-31March2007.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/04-09-12-Schaupfl%C3%BCgen-Fahrenwalde-RalfR-IMG_1232.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ice_water_vapor.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/People_are_buying_fruits.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chicken_eggs.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/FoodMeat.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,null","null,null,null,null,null,null,null,null,null,null"
Key local assets,"Natural asset: Organic poultry farming a small scale is complementary with diversified vegetable production: green manure, poor water demand Social asset: local production to answer national and local meat and egg demand, creation of local value in the territory. ","Natural capital, Vegetable, Green manure, Social capital, Meat, Egg, Territory","http://www.wikidata.org/entity/Q1540268, http://www.wikidata.org/entity/Q11004, http://www.wikidata.org/entity/Q954381, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q10990, http://www.wikidata.org/entity/Q17147, http://www.wikidata.org/entity/Q183366","world's stock of natural resources, which includes geology, soils, air, water and all living organisms|edible plant or part of a plant, involved in cooking|crop specifically produced to be incorporated into the soil while still green|sociology concept|culinary name for animal flesh eaten as food|organic vessel in which an embryo first begins to develop|area of land under a certain jurisdiction","null,https://upload.wikimedia.org/wikipedia/commons/f/fe/Kleinmarkthalle_Frankfurt_Gem%C3%BCsestand.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Wicken_als_Gr%C3%BCnd%C3%BCngung..JPG,null,https://upload.wikimedia.org/wikipedia/commons/a/ae/FoodMeat.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chicken_eggs.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Territorium_Argentoratense_-_CBT_5876401.jpg","null,null,null,null,null,null,null"
Challenges,The poultry farming VC is a good example of a production adapted to climate change condition (water scarcity). Farmers are currently converting to this production with a local marketing strategy in order to answer local and national demand for poultry products. This developpement strategy is carried out by farmers and cooperative actors. Overall the type of challenge faced by this VC is Current. This VC is classified as Innovative.,"Poultry farming, Climate change, Water scarcity, Marketing, Poultry, Cooperative, Innovation","http://www.wikidata.org/entity/Q861182, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q5376358, http://www.wikidata.org/entity/Q39809, http://www.wikidata.org/entity/Q178559, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q174165","part of animal husbandry|human-caused changes to climate on Earth|when water demand exceeds available resources|study and process of promoting, distributing, and selling products or services to customers|domesticated birds kept by humans for their eggs, meat, or feathers|autonomous association of persons or organizations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/d/dd/Battery_hens_-Bastos%2C_Sao_Paulo%2C_Brazil-31March2007.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Drought.jpg,null,https://upload.wikimedia.org/wikipedia/commons/c/c8/Scheuerer_H%C3%BChnerhof.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,null","null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Poultry farming integrated in cooperative model is innovative as it allows farmers to produce with a granted incomes, with shared cultural technics and tools and shared vision of the marketing strategies corresponding to local demand. The innovation is related to New processes, New marketing strategies and New governance systems. The land use systems involved are Cropland. The local assets include Natural and social.","Value chain, Poultry farming, Cooperative, Marketing strategy, Governance, Cropland, Nature, Social","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q861182, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q1553864, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q8425","functions of a company affecting its costs and quality and give it a competitive advantage|part of animal husbandry|autonomous association of persons or organizations|business strategy for marketing and advertising|all of the processes of governing, whether undertaken by a government, market or network, whether over a family, tribe, formal or informal organization or territory and whether through the laws, norms, power or language of an organized society|land used for agricultural purposes|natural, physical, or material world and its phenomena|group of people connected to each other","null,https://upload.wikimedia.org/wikipedia/commons/d/dd/Battery_hens_-Bastos%2C_Sao_Paulo%2C_Brazil-31March2007.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,null,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BA_%281%29.jpg","null,null,null,null,null,null,null,null"
