"title","narrative","CountryName"
"Osttiroler Mountain Lamb ('Osttiroler Berglamm')","https://dlnarratives.eu/narrative/N168_VC_10_AT","Austria"
"ALMO alp oxen","https://dlnarratives.eu/narrative/N1_VC_01_AT","Austria"
"Almenland Stollenkäse (transl.: Almenland mining tunnel cheese)","https://dlnarratives.eu/narrative/N23_VC_02_AT","Austria"
"Sheep farmers from Weiz ('Weizer Schafbauern')","https://dlnarratives.eu/narrative/N257_VC_15_AT","Austria"
"Almenland Herbs","https://dlnarratives.eu/narrative/N41_VC_03_AT","Austria"
"Almenland Fish","https://dlnarratives.eu/narrative/N59_VC_04_AT","Austria"
"Almenland Honey","https://dlnarratives.eu/narrative/N77_VC_05_AT","Austria"
"Almenland Schnaps","https://dlnarratives.eu/narrative/N95_VC_06_AT","Austria"
"'ISKAR GORGE' DAY TRIPS","https://dlnarratives.eu/narrative/N224_VC_13_BG","Bulgaria"
"Dittany grows widely and is cultivated in Embaros, Dicti mountain area","https://dlnarratives.eu/narrative/N229_VC_13_GR","Greece"
"Prickly pear cactus is a perennial shrub that grows everywhere in the dry, rocky terrain of Dicti and in the region of Viannos","https://dlnarratives.eu/narrative/N246_VC_14_GR","Greece"
"CERTIFIED ECOTOURISM","https://dlnarratives.eu/narrative/N53_VC_03_RO","Romania"
"Absinthe is a set of spirits made from absinth plants, to be mixed with water for consumption","https://dlnarratives.eu/narrative/N108_VC_49_CH2","Switzerland"
"Goat's milk cheese made by hand directly on the mountain pasture","https://dlnarratives.eu/narrative/N113_VC_51_CH2","Switzerland"
"PDO cheese made from raw and whole cow's milk. It's consumption is unique in that it is eaten in the form of rosettes obtained with the help of the 'girolle'","https://dlnarratives.eu/narrative/N135_VC_08_CH2","Switzerland"
"Salted cake made of leavened dough and covered with a cream-based mixture","https://dlnarratives.eu/narrative/N188_VC_11_CH2","Switzerland"
"alpine pasture cheese with organic sheep's milk","https://dlnarratives.eu/narrative/N207_VC_12_CH2","Switzerland"
"It is the only remaining horse breed of Swiss origin specialised in driving but with a versatile profile (trekking, sport)","https://dlnarratives.eu/narrative/N242_VC_14_CH2","Switzerland"
"Trout farming in the Doubs river","https://dlnarratives.eu/narrative/N278_VC_16_CH2","Switzerland"
"Local mustard produces and transformed on the farm","https://dlnarratives.eu/narrative/N311_VC_18_CH2","Switzerland"
"Cooperative that produces malt from local barley","https://dlnarratives.eu/narrative/N4_VC_01_CH2","Switzerland"
"Promotion and development of horse meat from the swiss jura","https://dlnarratives.eu/narrative/N80_VC_05_CH2","Switzerland"
"Different types of honey from the Jura Vaudois (moutain, flower, fir tree, forest). The beehives are in winter at l'Isle in the plains and in summer in the mountains","https://dlnarratives.eu/narrative/N84_VC_38_CH2","Switzerland"
"Plants grown, dried and transformed into herbal tea or cosmetic products directly on the farm","https://dlnarratives.eu/narrative/N90_VC_41_CH2","Switzerland"
"Cheese made from cow's milk, eaten raw and baked","https://dlnarratives.eu/narrative/N94_VC_43_CH2","Switzerland"
"Jogitz yogurt made from Goat's milk (several flavours)","https://dlnarratives.eu/narrative/N98_VC_06_CH2","Switzerland"
