title,description
Goat's milk cheese made by hand directly on the mountain pasture,"The MOVING reference member state of this VC (Value Chain) is SWITZERLAND 2. The reference MOVING Card ID of this VC is VC 51 CH2. The VC includes mainly farmers which produce, local retailers in addition to consumers, as the product is processed directly on the farm by the farmers themselves. Aditonnaly, It is therefore a short VC. the producers are organised in a producers' cooperative called DorignoL. The production benefits from from the label 'produit des parcs suisses'or 'parc du Jura Vaudois'."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Jura. The reference mountain landscape of this VC is Gimel; Vaulion. The MLR is a region composed of limestone rocks, which are permeable and have difficulty retaining water, forming a succession of shallow valleys and high plateaus. It is covered by forest and wooded pasture. Milk and cheese production are the first agricultural resource of the massif. Temperature vary strongly between summer and winter and the annual rainfall are abundant ( 1000 mm). Clock-making by farmers in the form of peasant clockmakers has been practiced since the Middle Ages and offers a cultural heritage to the region."
Geography and population,The size of the area (km2) is 3.20. The minimum altimetry of the LAU (Local Administrative Unit) is 670. The maximum altimetry of the LAU is 1496. The total population (in thousand) is 2.73. The population density (Inhabitants/km2) in the LAU is 85.33. The population change rate of the LAU in the last 10 years (%) has been 23.11%. The overall regional population density (Inhabitants/km2) is 199.83. The regional population change rate in the last 10 years (%) is unspecified.
Income and gross value added,The average per capita income (EUR/year) [Province] is 27184.41. The total Gross Value Added (GVA) (EUR million/year) [Province] is 79468.40. The primary sector share of total GVA/year [Province] is 0.99%. The secondary sector share of total GVA/year [Province] is 29.59%. The tertiary sector share of total GVA/year [Province] is 69.42%. The per capita income (EUR/year) [Region] is 25692.02. The total Gross Value Added (GVA) (EUR million/year) [Region] is 120370.80. The primary sector share of total GVA/year [Region] is 0.80%. The secondary sector share of total GVA/year [Region] is 28.02%. The tertiary sector share of total GVA/year [Region] is 71.17%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 26. The regional (Region) share of total BPs/year is 0.02%. The number of agricultural holdings in the LAU is 27. The nearest settlement with population over 100000 (km) is 32. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 15.72%. The secondary sector share of total employment/year [Province] is 18.76%. The tertiary sector share of total employment/year [Province] is 65.53%. The primary sector share of total employment/year [Region] is 2.55%. The secondary sector share of total employment/year [Region] is 15.85%. The tertiary sector share of total employment/year [Region] is 81.36%.
Interest on this VC,"Other use of grazing areas than cow cattle which is the main landuse system in the swiss mountains, pasture landuse system threatened by climate change with summer droughts. There are uncertainties about the real effect of climate change on grassland production and animal health (reduced grass growth in summer but a one-month longer growing season depending on the scenario)."
Key local assets,"Dairy production is based on pastures (natural asset), which represent the typical swiss cultural landscape. Grazing therefore depends on these landscapes and these landscapes depends in return on cattle, otherwise they would return to the state of the forest. Transformation into cheese depends on traditional knowledge, since it is produced in an artisanal way. "
Challenges,are not. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural and cultural.
Concluding remarks,The VC is also present in the swiss alps.
