title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Merlot from Alps - Ticino,"The MOVING reference member state of this VC (Value Chain) is SWITZERLAND. The reference MOVING Card ID of this VC is VC CH 01. Key actors of the VC are represented mostly by small individual winegrowers, who are selling the grapes to bigger private wineries. Most of the producers, 75,8%, cultivate an area smaller than 0.2 ha, so some of the small winegrowers tend to cooperate vinifying their harvests together, in order to guarantee the requested quality standards.The high level imposed by the VITI label has had a decisive influence in making Ticino wine known and appreciated on the national market, and has helped to ensure a progressive economic interest in local wine-growing.","Switzerland, Ticino, Wine, Viticulture","http://www.wikidata.org/entity/Q39, http://www.wikidata.org/entity/Q12724, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q253140","country in Central Europe|canton of Switzerland|alcoholic drink typically made from grapes through the fermentation process|science, production and study of grapes","null,https://upload.wikimedia.org/wikipedia/commons/b/b9/Bellinzona_valley.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg","46.798562 8.231973,46.316666666667 8.8166666666667,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Swiss Alps. The reference mountain landscape of this VC is Castel San Pietro. Castel San Pietro is a municipality in the district of Mendrisio in the canton of Ticino in Switzerland.It lies on a hilly territory with a difference in height that varies from 276msm of the river Breggia by which it is crossed, to 1615msm of the arrival station of the train of Monte Generoso.Castel San Pietro is one of the vineyard-covered municipalities in Canton Ticino.","Swiss Alps, Castel San Pietro, Mendrisio, Ticino (river), Switzerland, Breggia (river), Monte Generoso, Canton of Ticino, Breggia","http://www.wikidata.org/entity/Q25220, http://www.wikidata.org/entity/Q67872, http://www.wikidata.org/entity/Q69041, http://www.wikidata.org/entity/Q14366, http://www.wikidata.org/entity/Q39, http://www.wikidata.org/entity/Q2575760, http://www.wikidata.org/entity/Q15271, http://www.wikidata.org/entity/Q12724, http://www.wikidata.org/entity/Q70629","portion of the Alps mountain range that lies within Switzerland|municipality in the canton of Ticino, Switzerland|urban municipality in the canton of Ticino, Switzerland|river in Switzerland and Italy|country in Central Europe|river in Switzerland and Italy|mountain of the Lugano Prealps|canton of Switzerland|municipality in the canton of Ticino in Switzerland","https://upload.wikimedia.org/wikipedia/commons/b/bd/Muttbach.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Castel_San_Pietro_%28LCD%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6c/Mendrisio1_wiki.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Ticino.JPG,null,https://upload.wikimedia.org/wikipedia/commons/0/00/Breggia_river%2C_Switzerland.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/31MonteGeneroso.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Bellinzona_valley.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Valle_di_Muggio2.jpg","46.5 8.5,45.88233 9.01528,45.866666666667 8.9833333333333,46.4864 8.40398,46.798562 8.231973,45.9491 9.0295,45.929444444444 9.0191666666667,46.316666666667 8.8166666666667,45.862780555556 9.0230638888889"
Geography and population,The size of the area (km2) is 11.84. The minimum altimetry of the LAU (Local Administrative Unit) is 276. The maximum altimetry of the LAU is 1615. The total population (in thousand) is 2.194. The population density (Inhabitants/km2) in the LAU is 185.3. The population change rate of the LAU in the last 10 years (%) has been 5.40%. The overall regional population density (Inhabitants/km2) is 126.5. The regional population change rate in the last 10 years (%) has been 4.70%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Province] is 27201. The primary sector share of total GVA/year [Province] is 0.30%. The secondary sector share of total GVA/year [Province] is 35.20%. The tertiary sector share of total GVA/year [Province] is 64.50%. The per capita income (EUR/year) [Region] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Region] is 27201. The primary sector share of total GVA/year [Region] is 0.30%. The secondary sector share of total GVA/year [Region] is 35.20%. The tertiary sector share of total GVA/year [Region] is 64.50%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 109. The regional (Region) share of total BPs/year is 7.90%. The number of agricultural holdings in the LAU is 26. The nearest settlement with population over 100000 (km) is 58. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 5.10%. The secondary sector share of total employment/year [Province] is 59.70%. The tertiary sector share of total employment/year [Province] is 35.30%. The primary sector share of total employment/year [Region] is 1.50%. The secondary sector share of total employment/year [Region] is 22.00%. The tertiary sector share of total employment/year [Region] is 76.50%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Ticino's vineyards are an example of high quality mountain viticulture, with vineyards planted on terraces scattered in small parcels, The VITI quality label characterising quality red wine, produced strictly from Merlot grapes.","Merlot, Ticino, Vineyard, Viticulture","http://www.wikidata.org/entity/Q213338, http://www.wikidata.org/entity/Q12724, http://www.wikidata.org/entity/Q22715, http://www.wikidata.org/entity/Q253140","dark blue-colored variety of wine-making grape|canton of Switzerland|plantation of grape-bearing vines|science, production and study of grapes","https://upload.wikimedia.org/wikipedia/commons/e/ee/Merlot_Grape.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Bellinzona_valley.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Gwinllan_Llanerch_vinyard%2C_nr_Caerdydd_%28Cardiff%29%2C_Cymru_%28Wales%29_July_2025_09.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg","null,46.316666666667 8.8166666666667,null,null"
Key local assets,"Key local assets include splendid mountain scenary coupled to the Mediterranean climat, very favorable for wine production. The large majority of Ticino vines have always been grown on terraces. Their function is to protect the soil from erosion by the heavy rainfall typical of the prealpine zone. In terms of vines, the key local asset is Merlot, international grape variety, well adapted to the specific climatic conditions of the region. ","Mediterranean Sea, Merlot, Mountain, Mediterranean climate, Viticulture, Ticino, Vine, Terrace, Soil erosion, Rainfall, Prealps, Grape","http://www.wikidata.org/entity/Q4918, http://www.wikidata.org/entity/Q213338, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q13996, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q12724, http://www.wikidata.org/entity/Q917284, http://www.wikidata.org/entity/Q98124977, http://www.wikidata.org/entity/Q889503, http://www.wikidata.org/entity/Q7925, http://www.wikidata.org/entity/Q64848883, http://www.wikidata.org/entity/Q10978","sea between Europe, Africa and Asia|dark blue-colored variety of wine-making grape|large natural elevation of the Earth's surface|type of climate characterised by mild to cold wet winters and mild to hot dry summers|science, production and study of grapes|canton of Switzerland|plant with a growth habit of trailing or scandent (that is, climbing) stems or runners|Wikimedia disambiguation page|washing or blowing away of the top layer of soil|liquid water in the form of droplets that have condensed from atmospheric water vapor and then precipitated|foothills at the base of the Alps in Europe as a transition zone|edible berry of a flowering plant in the family Vitaceae","https://upload.wikimedia.org/wikipedia/commons/d/d8/Mediterranean_Sea_political_map-en.svg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Merlot_Grape.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Himalayas%2C_Ama_Dablam%2C_Nepal.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/KoppenclassificationworldmapCs.png,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Bellinzona_valley.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/%C5%BDH_Str%C3%A1%C5%BEov_21.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/40/Rano_Raraku_quarry.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/08152_Bukowsko_%28powiat_sanocki%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/5/5e/Wine_grapes03.jpg","38 17,null,null,null,null,46.316666666667 8.8166666666667,null,null,null,null,null,null"
Challenges,The main challenge remains to find solutions to optimise the profitability of vineyards on steeply sloping terrain. In terms of sustainability the ecological value of mountain can be further enhanced through the biodiversity enhancement and safeguarding. Overall the type of challenge faced by this VC is unspecified. This VC is classified as Traditional.,"Viticulture, Profit, Sustainability, Ecology, Biodiversity, Mountain, Venture capital, Tradition","http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q2112047, http://www.wikidata.org/entity/Q219416, http://www.wikidata.org/entity/Q7150, http://www.wikidata.org/entity/Q47041, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821","science, production and study of grapes|Wikimedia disambiguation page|ability of human civilization to coexist with the biosphere in a steady state|scientific study of the relationships between living organisms|degree of variation of life forms|large natural elevation of the Earth's surface|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations","https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a5/Visualization_of_pillars_of_sustainability.webp,https://upload.wikimedia.org/wikipedia/commons/5/5b/Grib_skov.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Animal_diversity_October_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Himalayas%2C_Ama_Dablam%2C_Nepal.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg","null,null,null,null,null,null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland. The local assets include Natural.,"Value chain, Cropland, Nature","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q7860","functions of a company affecting its costs and quality and give it a competitive advantage|land used for agricultural purposes|natural, physical, or material world and its phenomena","null,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg","null,null,null"
